'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for VIEWBANK Victoria for August 2020,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
VIEWBANK,01/08/2020,1.4,0.0, ,15.7,3.2,100,54,2.29,11.02
VIEWBANK,02/08/2020,1.6,0.0, ,17.2,4.4,100,49,2.49,11.65
VIEWBANK,03/08/2020,1.7,0.0, ,15.6,6.6,100,45,2.70,10.35
VIEWBANK,04/08/2020,1.3,0.2, ,9.8,3.9,100,58,4.11,9.27
VIEWBANK,05/08/2020,1.1,8.0, ,10.5,3.2,100,70,4.25,8.53
VIEWBANK,06/08/2020,0.9,1.0, ,12.0,2.9,100,69,1.30,6.13
VIEWBANK,07/08/2020,0.9,0.0, ,11.5,0.2,100,61,1.22,5.63
VIEWBANK,08/08/2020,1.2,6.2, ,16.2,1.6,100,65,1.98,8.93
VIEWBANK,09/08/2020,1.5,0.0, ,14.7,8.2,100,55,2.81,10.38
VIEWBANK,10/08/2020,1.3,0.0, ,16.3,2.2,100,50,0.91,12.70
VIEWBANK,11/08/2020,1.6,0.0, ,15.9,1.7,100,50,2.31,9.73
VIEWBANK,12/08/2020,1.3,1.2, ,15.4,6.6,100,64,2.23,8.42
VIEWBANK,13/08/2020,1.5,1.0, ,17.8,10.9,100,66,2.46,9.66
VIEWBANK,14/08/2020,1.3,0.6, ,16.9,9.8,100,64,1.61,7.58
VIEWBANK,15/08/2020,1.4,3.8, ,16.0,5.6,100,68,1.74,12.59
VIEWBANK,16/08/2020,1.1,0.0, ,14.8,8.6,100,81,3.80,8.03
VIEWBANK,17/08/2020,1.8,0.0, ,16.3,8.0,100,46,2.52,10.70
VIEWBANK,18/08/2020,1.9,0.2, ,15.9,10.1,92,61,3.64,11.93
VIEWBANK,19/08/2020,1.1,1.6, ,11.8,8.5,99,76,3.01,7.03
VIEWBANK,20/08/2020,2.1,3.4, ,15.4,8.4,99,48,4.33,9.63
VIEWBANK,21/08/2020,2.2,3.8, ,13.8,6.9,99,44,4.54,12.56
VIEWBANK,22/08/2020,1.1,6.2, ,10.0,5.1,100,73,4.42,5.95
VIEWBANK,23/08/2020,1.5,29.2, ,11.1,6.0,100,60,4.35,8.64
VIEWBANK,24/08/2020,1.4,4.0, ,12.2,4.3,100,61,2.06,10.65
VIEWBANK,25/08/2020,1.2,0.2, ,13.1,1.6,100,64,1.14,9.57
VIEWBANK,26/08/2020,1.6,0.0, ,15.2,4.7,100,48,1.27,11.72
VIEWBANK,27/08/2020,3.5,0.0, ,19.8,7.9,99,36,5.86,14.44
VIEWBANK,28/08/2020,1.9,0.4, ,16.9,5.0,99,45,1.58,14.24
VIEWBANK,29/08/2020,2.6,0.0, ,18.0,5.8,99,45,3.79,15.57
VIEWBANK,30/08/2020,3.2,0.0, ,19.8,12.6,99,38,5.59,10.27
VIEWBANK,31/08/2020,1.8,1.2, ,12.7,5.8,99,58,2.97,13.48
Totals:,,50,72.2, ,,,,,, 
