'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for VIEWBANK Victoria for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
VIEWBANK,01/09/2022,1.3,0.0, ,14.5,3.8,100,51,0.90,9.34
VIEWBANK,02/09/2022,1.7,2.6, ,12.6,8.0,100,52,3.20,10.08
VIEWBANK,03/09/2022,1.4,0.6, ,14.4,5.7,100,63,1.73,8.69
VIEWBANK,04/09/2022,1.1,0.0, ,12.8,6.0,100,74,1.21,7.02
VIEWBANK,05/09/2022,1.9,0.0, ,15.6,6.8,100,48,1.42,14.62
VIEWBANK,06/09/2022,2.0,0.0, ,18.4,1.5,100,44,1.15,14.51
VIEWBANK,07/09/2022,2.3,0.0, ,19.8,4.4,100,43,1.72,15.19
VIEWBANK,08/09/2022,1.4,2.0, ,17.3,11.5,100,70,3.58,5.08
VIEWBANK,09/09/2022,2.3,1.8, ,20.8,8.7,100,46,1.54,13.66
VIEWBANK,10/09/2022,2.0,7.8, ,16.3,10.2,100,52,3.37,8.64
VIEWBANK,11/09/2022,2.2,0.0, ,17.2,8.4,100,46,3.23,9.21
VIEWBANK,12/09/2022,2.1,5.2, ,13.6,7.2,100,57,3.06,14.91
VIEWBANK,13/09/2022,1.7,1.8, ,13.5,4.4,100,52,1.26,12.62
VIEWBANK,14/09/2022,2.6,0.0, ,17.7,0.8,100,40,2.20,18.25
VIEWBANK,15/09/2022,1.7,7.2, ,16.3,10.4,100,68,2.30,10.55
VIEWBANK,16/09/2022,2.2,0.0, ,17.3,7.5,100,55,2.89,11.71
VIEWBANK,17/09/2022,1.6,3.4, ,14.2,8.7,100,69,3.96,8.23
VIEWBANK,18/09/2022,1.6,11.6, ,15.1,9.5,100,71,3.22,8.35
VIEWBANK,19/09/2022,2.3,7.4, ,16.1,7.1,100,52,2.71,14.27
VIEWBANK,20/09/2022,2.8,0.0, ,20.0,4.3,100,44,1.70,18.57
VIEWBANK,21/09/2022,1.8,0.4, ,19.9,11.9,100,51,1.00,8.72
VIEWBANK,22/09/2022,2.6,0.0, ,19.7,8.3,100,66,1.58,18.57
VIEWBANK,23/09/2022,1.3,0.0, ,17.3,12.8,100,82,1.98,7.12
VIEWBANK,24/09/2022,2.7,0.0, ,14.8,9.1,100,51,3.14,18.66
VIEWBANK,25/09/2022,2.7,0.0, ,18.6,2.6,100,40,1.45,19.60
VIEWBANK,26/09/2022,1.5,0.0, ,15.5,10.1,100,66,1.70,8.02
VIEWBANK,27/09/2022,1.4,3.2, ,15.7,10.5,100,83,2.00,8.82
VIEWBANK,28/09/2022,1.6,7.0, ,16.4,12.1,100,71,4.09,7.10
VIEWBANK,29/09/2022,2.1,0.0, ,16.4,10.4,94,68,2.84,12.80
VIEWBANK,30/09/2022,2.6,0.0, ,20.4,5.9,100,56,1.35,17.31
Totals:,,58.5,62, ,,,,,, 
