'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for September 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/09/2009,2.0,1.8, ,11.1,3.9,94,58,4.66,16.46
WALLAN (KILMORE GAP),02/09/2009,2.3,0.2, ,12.7,3.6,89,64,9.23,18.09
WALLAN (KILMORE GAP),03/09/2009,2.9,0.0, ,15.5,6.8,83,62,10.25,16.00
WALLAN (KILMORE GAP),04/09/2009,1.6,1.0, ,10.9,4.9,99,70,7.24,12.63
WALLAN (KILMORE GAP),05/09/2009,1.6,2.8, ,10.5,1.3,99,70,6.46,14.06
WALLAN (KILMORE GAP),06/09/2009,2.4,0.4, ,12.4,3.7,91,58,10.14,12.53
WALLAN (KILMORE GAP),07/09/2009,1.9,0.2, ,13.2,6.3,99,68,4.78,14.33
WALLAN (KILMORE GAP),08/09/2009,1.2,5.2, ,10.5,5.9,99,80,7.97,10.12
WALLAN (KILMORE GAP),09/09/2009,1.0,2.2, ,8.0,5.0,99,85,6.70,10.54
WALLAN (KILMORE GAP),10/09/2009,1.9,0.6, ,10.6,5.1,89,68,4.08,15.63
WALLAN (KILMORE GAP),11/09/2009,3.9,0.0, ,16.0,3.5,95,43,14.57,18.95
WALLAN (KILMORE GAP),12/09/2009,8.1,0.0, ,24.3,7.3,58,19,13.14,18.38
WALLAN (KILMORE GAP),13/09/2009,3.8,0.4, ,15.3,11.4,92,24,7.96,12.55
WALLAN (KILMORE GAP),14/09/2009,2.6,0.0, ,12.3,4.0,82,45,3.14,19.64
WALLAN (KILMORE GAP),15/09/2009,3.1,0.0, ,14.1,6.4,69,52,4.16,21.12
WALLAN (KILMORE GAP),16/09/2009,3.9,0.0, ,16.2,6.6,73,46,8.78,19.74
WALLAN (KILMORE GAP),17/09/2009,2.3,0.6, ,12.1,10.0,99,49,8.65,8.14
WALLAN (KILMORE GAP),18/09/2009,2.5,13.8, ,13.8,5.4,99,64,5.22,21.44
WALLAN (KILMORE GAP),19/09/2009,2.4,0.0, ,14.2,5.9,89,64,8.06,13.81
WALLAN (KILMORE GAP),20/09/2009,2.5,0.0, ,13.7,6.6,92,52,3.24,17.29
WALLAN (KILMORE GAP),21/09/2009,2.5,0.0, ,14.2,5.8,99,63,5.26,19.07
WALLAN (KILMORE GAP),22/09/2009,1.7,25.0, ,12.8,7.5,99,79,8.40,14.46
WALLAN (KILMORE GAP),23/09/2009,2.1,2.0, ,12.9,6.7,99,68,7.54,16.79
WALLAN (KILMORE GAP),24/09/2009,2.1,0.0, ,13.9,4.9,96,72,7.71,15.58
WALLAN (KILMORE GAP),25/09/2009,1.2,0.2, ,9.9,6.9,99,82,9.68,10.61
WALLAN (KILMORE GAP),26/09/2009,1.8,31.4, ,9.1,3.1,99,69,6.42,16.40
WALLAN (KILMORE GAP),27/09/2009,1.5,0.8, ,7.5,3.2,97,73,10.28,15.01
WALLAN (KILMORE GAP),28/09/2009,1.6,3.2, ,9.3,4.5,99,75,7.58,14.15
WALLAN (KILMORE GAP),29/09/2009,2.8,0.0, ,13.1,3.4,90,62,5.25,23.22
WALLAN (KILMORE GAP),30/09/2009,5.0,0.0, ,17.8,6.9,80,37,12.03,21.67
Totals:,,76.2,91.8, ,,,,,, 
