'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for July 2013,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 August 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/07/2013,0.5,0.4, ,12.1,6.5,100,92,6.08,6.05
WALLAN (KILMORE GAP),02/07/2013,1.4,0.6, ,14.0,6.8,100,61,5.99,9.60
WALLAN (KILMORE GAP),03/07/2013,1.0,0.4, ,10.8,5.0,100,75,7.77,9.42
WALLAN (KILMORE GAP),04/07/2013,1.3,0.0, ,10.7,3.9,99,70,12.06,7.05
WALLAN (KILMORE GAP),05/07/2013,1.1,5.2, ,8.2,3.0,99,66,8.48,9.46
WALLAN (KILMORE GAP),06/07/2013,0.9,0.4, ,9.6,4.0,100,76,6.70,6.87
WALLAN (KILMORE GAP),07/07/2013,0.3,0.8, ,6.2,2.2,100,96,4.97,4.73
WALLAN (KILMORE GAP),08/07/2013,0.7,0.6, ,10.0,3.5,100,71,1.92,8.62
WALLAN (KILMORE GAP),09/07/2013,0.8,0.6, ,9.3,3.7,99,61,1.82,10.93
WALLAN (KILMORE GAP),10/07/2013,1.2,0.0, ,10.0,2.8,91,65,5.55,10.99
WALLAN (KILMORE GAP),11/07/2013,0.9,0.0, ,10.9,4.3,100,80,6.95,8.85
WALLAN (KILMORE GAP),12/07/2013,1.1,0.4, ,12.0,5.0,100,74,6.36,10.05
WALLAN (KILMORE GAP),13/07/2013,0.6,0.0, ,10.8,6.8,100,90,7.89,3.51
WALLAN (KILMORE GAP),14/07/2013,0.2,9.6, ,10.3,8.5,100,100,11.86,2.85
WALLAN (KILMORE GAP),15/07/2013,0.6,12.8, ,12.6,9.2,100,92,6.31,6.97
WALLAN (KILMORE GAP),16/07/2013,0.7,0.2, ,11.9,8.4,100,89,5.05,7.40
WALLAN (KILMORE GAP),17/07/2013,0.4,0.2, ,12.4,8.8,100,99,7.76,5.88
WALLAN (KILMORE GAP),18/07/2013,1.5,1.0, ,16.4,8.9,100,76,13.90,8.99
WALLAN (KILMORE GAP),19/07/2013,0.3,21.2, ,10.0,9.4,100,99,11.08,3.61
WALLAN (KILMORE GAP),20/07/2013,0.3,11.8, ,5.2,3.6,100,97,4.72,3.64
WALLAN (KILMORE GAP),21/07/2013,0.3,6.4, ,4.5,1.3,100,99,8.77,8.35
WALLAN (KILMORE GAP),22/07/2013,0.8,0.4, ,8.6,1.4,100,80,7.50,10.22
WALLAN (KILMORE GAP),23/07/2013,0.7,2.4, ,8.2,3.7,100,82,6.95,6.08
WALLAN (KILMORE GAP),24/07/2013,0.9,0.0, ,9.2,5.2,99,78,6.89,8.06
WALLAN (KILMORE GAP),25/07/2013,0.5,0.2, ,5.8,2.4,100,90,9.07,9.54
WALLAN (KILMORE GAP),26/07/2013,0.4,0.0, ,8.3,3.0,100,96,8.69,9.12
WALLAN (KILMORE GAP),27/07/2013,0.9,0.0, ,9.1,4.5,99,82,11.22,10.05
WALLAN (KILMORE GAP),28/07/2013,1.6,0.0, ,12.3,4.8,100,66,12.89,7.58
WALLAN (KILMORE GAP),29/07/2013,1.3,9.8, ,13.3,8.7,100,75,8.30,12.21
WALLAN (KILMORE GAP),30/07/2013,1.2,0.4, ,10.9,5.8,100,65,3.88,12.02
WALLAN (KILMORE GAP),31/07/2013,1.2,0.2, ,11.5,3.4,99,65,3.35,12.89
Totals:,,25.6,86, ,,,,,, 
