'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/04/2015,6.3,0.0, ,25.7,13.5,67,33,9.38,13.78
WALLAN (KILMORE GAP),02/04/2015,2.8,0.2, ,14.5,7.5,100,48,8.15,15.34
WALLAN (KILMORE GAP),03/04/2015,3.5,0.0, ,17.4,4.8,100,37,6.59,17.65
WALLAN (KILMORE GAP),04/04/2015,4.0,0.2, ,23.0,7.5,100,27,4.40,15.48
WALLAN (KILMORE GAP),05/04/2015,2.7,0.0, ,18.8,11.6,99,44,5.00,9.21
WALLAN (KILMORE GAP),06/04/2015,2.1,0.0, ,15.3,7.7,99,45,3.04,9.84
WALLAN (KILMORE GAP),07/04/2015,1.0,0.0, ,12.4,8.3,100,83,7.33,3.91
WALLAN (KILMORE GAP),08/04/2015,1.6,13.8, ,13.8,7.3,100,71,6.86,9.57
WALLAN (KILMORE GAP),09/04/2015,2.5,0.0, ,16.5,7.0,100,55,6.05,13.55
WALLAN (KILMORE GAP),10/04/2015,2.5,0.2, ,17.6,6.8,100,57,4.67,16.08
WALLAN (KILMORE GAP),11/04/2015,3.2,0.2, ,21.5,9.3,100,43,4.38,14.79
WALLAN (KILMORE GAP),12/04/2015,2.3,0.0, ,16.1,9.4,98,58,5.88,12.25
WALLAN (KILMORE GAP),13/04/2015,3.4,0.0, ,21.4,6.1,100,28,3.73,15.68
WALLAN (KILMORE GAP),14/04/2015,3.4,0.6, ,20.8,7.6,79,45,6.05,9.09
WALLAN (KILMORE GAP),15/04/2015,3.7,2.6, ,23.2,12.8,100,52,8.42,14.58
WALLAN (KILMORE GAP),16/04/2015,1.8,0.0, ,16.0,11.3,100,69,5.02,10.82
WALLAN (KILMORE GAP),17/04/2015,1.5,0.0, ,14.0,7.3,100,67,4.90,6.25
WALLAN (KILMORE GAP),18/04/2015,2.2,4.6, ,18.1,8.8,100,56,4.87,10.50
WALLAN (KILMORE GAP),19/04/2015,1.2,5.6, ,9.8,4.9,100,73,8.01,7.88
WALLAN (KILMORE GAP),20/04/2015,2.2,2.6, ,12.3,3.8,93,52,7.41,12.08
WALLAN (KILMORE GAP),21/04/2015,2.1,0.0, ,13.8,4.2,96,57,7.07,12.20
WALLAN (KILMORE GAP),22/04/2015,0.9,0.0, ,13.9,5.7,100,85,7.01,3.90
WALLAN (KILMORE GAP),23/04/2015,1.0,0.0, ,15.6,9.2,100,86,5.56,6.34
WALLAN (KILMORE GAP),24/04/2015,1.7,0.0, ,17.8,10.8,100,65,4.71,6.78
WALLAN (KILMORE GAP),25/04/2015,0.6,6.6, ,11.3,7.9,100,99,4.76,5.47
WALLAN (KILMORE GAP),26/04/2015,1.2,7.6, ,10.8,6.6,100,75,7.21,7.83
WALLAN (KILMORE GAP),27/04/2015,1.1,0.6, ,11.2,6.9,100,76,5.18,6.86
WALLAN (KILMORE GAP),28/04/2015,1.2,1.6, ,12.6,6.9,100,74,4.96,8.18
WALLAN (KILMORE GAP),29/04/2015,1.7,0.4, ,13.6,5.7,99,60,4.01,13.11
WALLAN (KILMORE GAP),30/04/2015,1.8,0.0, ,16.6,6.8,95,56,2.83,12.18
Totals:,,67.2,47.4, ,,,,,, 
