'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for February 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 March 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/02/2017,3.8,0.2, ,21.2,9.6,93,33,3.46,14.62
WALLAN (KILMORE GAP),02/02/2017,5.7,0.0, ,24.5,10.0,94,32,4.27,27.14
WALLAN (KILMORE GAP),03/02/2017,6.3,0.0, ,28.6,10.8,99,26,3.41,28.15
WALLAN (KILMORE GAP),04/02/2017,8.8,0.0, ,33.0,13.9,93,13,5.88,27.09
WALLAN (KILMORE GAP),05/02/2017,2.2,1.2, ,22.9,15.2,99,70,7.31,4.53
WALLAN (KILMORE GAP),06/02/2017,1.3,18.0, ,13.5,12.3,100,76,5.72,4.39
WALLAN (KILMORE GAP),07/02/2017,5.7,0.4, ,25.6,10.3,94,47,5.88,27.93
WALLAN (KILMORE GAP),08/02/2017,8.5,0.2, ,32.8,13.3,94,33,8.31,27.46
WALLAN (KILMORE GAP),09/02/2017,8.8,0.0, ,35.5,20.8,99,38,11.16,21.95
WALLAN (KILMORE GAP),10/02/2017,5.9,0.2, ,32.2,15.1,100,45,4.55,22.67
WALLAN (KILMORE GAP),11/02/2017,5.0,0.2, ,27.2,15.1,99,51,4.71,22.98
WALLAN (KILMORE GAP),12/02/2017,2.9,0.6, ,16.9,9.9,100,55,6.58,12.88
WALLAN (KILMORE GAP),13/02/2017,2.6,2.0, ,19.3,9.1,100,66,6.48,11.89
WALLAN (KILMORE GAP),14/02/2017,2.9,0.6, ,18.9,9.9,100,65,6.09,16.31
WALLAN (KILMORE GAP),15/02/2017,6.9,0.4, ,28.5,8.6,100,32,7.10,26.02
WALLAN (KILMORE GAP),16/02/2017,5.6,0.0, ,29.4,13.6,100,44,4.68,23.30
WALLAN (KILMORE GAP),17/02/2017,4.9,0.0, ,23.7,10.3,100,36,3.95,24.68
WALLAN (KILMORE GAP),18/02/2017,3.8,0.0, ,18.4,8.9,85,37,4.52,16.52
WALLAN (KILMORE GAP),19/02/2017,2.8,0.0, ,16.2,6.1,96,52,5.36,12.81
WALLAN (KILMORE GAP),20/02/2017,3.9,3.2, ,19.2,6.9,91,38,5.49,15.56
WALLAN (KILMORE GAP),21/02/2017,5.3,0.2, ,23.5,7.8,90,25,3.76,25.31
WALLAN (KILMORE GAP),22/02/2017,9.7,0.0, ,30.3,11.2,63,15,9.17,24.19
WALLAN (KILMORE GAP),23/02/2017,5.4,0.0, ,26.0,14.6,97,41,4.90,24.62
WALLAN (KILMORE GAP),24/02/2017,3.7,1.4, ,18.2,11.8,99,52,7.69,20.10
WALLAN (KILMORE GAP),25/02/2017,4.4,0.2, ,19.4,8.5,99,44,7.71,24.48
WALLAN (KILMORE GAP),26/02/2017,5.8,0.0, ,29.2,11.0,99,28,3.78,23.49
WALLAN (KILMORE GAP),27/02/2017,7.0,0.0, ,29.3,14.2,72,28,5.56,23.68
WALLAN (KILMORE GAP),28/02/2017,7.5,0.0, ,31.2,17.8,64,25,5.38,23.31
Totals:,,147.1,29, ,,,,,, 
