'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for October 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 November 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/10/2017,2.0,0.0, ,13.9,5.4,99,62,3.78,11.21
WALLAN (KILMORE GAP),02/10/2017,2.6,1.8, ,14.4,5.5,99,66,3.99,21.28
WALLAN (KILMORE GAP),03/10/2017,3.8,0.0, ,18.9,6.9,96,46,5.03,21.95
WALLAN (KILMORE GAP),04/10/2017,4.5,0.2, ,21.4,6.4,99,37,5.55,21.96
WALLAN (KILMORE GAP),05/10/2017,2.8,0.2, ,18.0,11.4,99,50,7.13,7.56
WALLAN (KILMORE GAP),06/10/2017,2.0,1.0, ,12.2,4.8,99,69,8.10,14.50
WALLAN (KILMORE GAP),07/10/2017,3.5,0.0, ,18.2,5.1,99,45,6.18,17.83
WALLAN (KILMORE GAP),08/10/2017,3.9,0.2, ,18.7,7.8,100,51,10.87,20.14
WALLAN (KILMORE GAP),09/10/2017,3.4,2.4, ,16.5,11.3,100,52,6.55,21.16
WALLAN (KILMORE GAP),10/10/2017,3.7,0.2, ,17.8,5.1,93,44,3.40,23.63
WALLAN (KILMORE GAP),11/10/2017,4.7,0.0, ,21.5,8.7,100,40,11.50,13.87
WALLAN (KILMORE GAP),12/10/2017,2.9,14.2, ,15.0,5.4,96,58,4.97,20.12
WALLAN (KILMORE GAP),13/10/2017,1.7,0.0, ,13.4,7.3,99,71,4.04,8.85
WALLAN (KILMORE GAP),14/10/2017,3.1,1.2, ,14.8,5.7,99,57,6.28,21.98
WALLAN (KILMORE GAP),15/10/2017,3.8,0.2, ,20.0,5.3,99,56,4.48,24.57
WALLAN (KILMORE GAP),16/10/2017,4.6,0.2, ,23.6,8.1,100,47,5.02,24.48
WALLAN (KILMORE GAP),17/10/2017,6.5,0.0, ,24.8,13.7,67,35,7.14,24.96
WALLAN (KILMORE GAP),18/10/2017,6.8,0.0, ,25.2,15.1,62,43,8.60,25.15
WALLAN (KILMORE GAP),19/10/2017,3.5,0.0, ,22.7,16.3,100,51,8.08,9.40
WALLAN (KILMORE GAP),20/10/2017,3.0,3.6, ,13.4,6.4,98,54,8.77,19.68
WALLAN (KILMORE GAP),21/10/2017,1.8,0.0, ,11.6,6.1,99,68,6.69,10.91
WALLAN (KILMORE GAP),22/10/2017,1.8,0.4, ,13.5,6.1,100,75,6.41,11.28
WALLAN (KILMORE GAP),23/10/2017,4.0,0.2, ,20.9,7.2,99,51,4.58,23.17
WALLAN (KILMORE GAP),24/10/2017,3.7,0.2, ,21.9,8.5,99,48,4.27,16.86
WALLAN (KILMORE GAP),25/10/2017,2.1,9.0, ,16.7,10.8,100,78,4.75,13.80
WALLAN (KILMORE GAP),26/10/2017,0.8,0.8, ,13.7,8.6,100,94,6.68,5.25
WALLAN (KILMORE GAP),27/10/2017,5.9,0.6, ,22.5,8.9,100,30,7.81,26.74
WALLAN (KILMORE GAP),28/10/2017,3.9,0.0, ,19.4,13.3,99,38,5.88,15.87
WALLAN (KILMORE GAP),29/10/2017,6.5,0.0, ,23.4,10.7,100,27,9.34,27.12
WALLAN (KILMORE GAP),30/10/2017,2.4,5.4, ,12.1,3.6,99,60,4.89,16.01
WALLAN (KILMORE GAP),31/10/2017,2.3,1.8, ,13.2,3.8,99,59,5.04,13.85
Totals:,,108,43.8, ,,,,,, 
