'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 June 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/05/2022,1.3,0.0, ,14.8,5.9,99,79,6.72,9.33
WALLAN (KILMORE GAP),02/05/2022,2.0,0.4, ,17.2,7.2,98,62,5.70,11.86
WALLAN (KILMORE GAP),03/05/2022,1.9,0.2, ,15.6,8.2,98,67,8.64,10.21
WALLAN (KILMORE GAP),04/05/2022,1.1,0.0, ,12.1,9.3,97,75,5.29,4.30
WALLAN (KILMORE GAP),05/05/2022,1.4,1.2, ,10.5,4.2,89,61,3.63,11.06
WALLAN (KILMORE GAP),06/05/2022,1.4,0.4, ,10.0,2.8,99,63,5.98,10.48
WALLAN (KILMORE GAP),07/05/2022,1.1,0.6, ,10.7,3.2,99,73,5.86,6.89
WALLAN (KILMORE GAP),08/05/2022,1.0,0.0, ,11.5,5.4,98,75,3.53,6.99
WALLAN (KILMORE GAP),09/05/2022,1.3,0.6, ,13.1,6.3,99,69,3.81,10.30
WALLAN (KILMORE GAP),10/05/2022,1.5,0.4, ,16.8,7.0,92,63,2.73,8.96
WALLAN (KILMORE GAP),11/05/2022,1.4,0.0, ,16.3,10.7,95,64,3.55,5.43
WALLAN (KILMORE GAP),12/05/2022,1.1,0.2, ,16.0,11.1,99,76,2.96,6.76
WALLAN (KILMORE GAP),13/05/2022,0.8,4.0, ,16.2,11.0,99,91,3.84,5.73
WALLAN (KILMORE GAP),14/05/2022,0.7,1.8, ,13.7,11.7,99,91,9.42,3.53
WALLAN (KILMORE GAP),15/05/2022,1.8,1.0, ,15.7,11.3,99,66,8.74,9.41
WALLAN (KILMORE GAP),16/05/2022,1.0,0.8, ,11.9,7.9,99,77,6.06,6.61
WALLAN (KILMORE GAP),17/05/2022,1.1,2.4, ,10.3,3.9,98,73,5.82,8.29
WALLAN (KILMORE GAP),18/05/2022,1.4,0.0, ,11.4,5.9,94,63,5.42,6.51
WALLAN (KILMORE GAP),19/05/2022,1.3,0.2, ,10.5,5.1,94,67,5.50,7.48
WALLAN (KILMORE GAP),20/05/2022,1.3,0.0, ,11.3,6.8,97,69,6.47,8.98
WALLAN (KILMORE GAP),21/05/2022,1.2,0.0, ,13.1,4.6,98,66,3.99,10.51
WALLAN (KILMORE GAP),22/05/2022,0.9,0.2, ,10.9,6.0,99,78,3.86,9.72
WALLAN (KILMORE GAP),23/05/2022,1.5,0.2, ,15.9,5.0,99,59,3.55,10.35
WALLAN (KILMORE GAP),24/05/2022,1.6,0.0, ,15.3,8.6,83,62,3.80,10.28
WALLAN (KILMORE GAP),25/05/2022,1.7,0.0, ,14.1,7.5,88,68,7.37,8.92
WALLAN (KILMORE GAP),26/05/2022,0.8,1.2, ,11.0,8.9,99,81,7.32,3.20
WALLAN (KILMORE GAP),27/05/2022,0.7,11.2, ,12.5,8.3,99,88,2.77,5.83
WALLAN (KILMORE GAP),28/05/2022,0.9,0.4, ,10.8,7.3,97,69,2.67,7.96
WALLAN (KILMORE GAP),29/05/2022,0.9,0.0, ,8.8,4.5,99,74,5.59,7.62
WALLAN (KILMORE GAP),30/05/2022,0.4,0.6, ,6.5,3.3,99,93,4.90,2.70
WALLAN (KILMORE GAP),31/05/2022,0.9,13.8, ,6.9,3.0,99,69,5.84,4.75
Totals:,,37.4,41.8, ,,,,,, 
