'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for February 2024,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 March 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/02/2024,5.2,0.0, ,23.2,11.2,97,48,5.46,27.45
WALLAN (KILMORE GAP),02/02/2024,4.6,0.0, ,20.1,11.2,98,53,6.21,28.16
WALLAN (KILMORE GAP),03/02/2024,7.3,0.0, ,30.0,9.5,93,12,3.85,28.80
WALLAN (KILMORE GAP),04/02/2024,9.8,0.0, ,33.7,15.0,80,21,7.72,28.64
WALLAN (KILMORE GAP),05/02/2024,3.3,0.0, ,16.3,16.0,98,25,6.98,5.92
WALLAN (KILMORE GAP),06/02/2024,4.6,0.4, ,17.8,9.0,97,39,7.78,25.86
WALLAN (KILMORE GAP),07/02/2024,4.5,0.0, ,19.8,8.4,97,52,8.13,26.69
WALLAN (KILMORE GAP),08/02/2024,4.8,0.0, ,22.7,10.4,98,52,5.24,27.38
WALLAN (KILMORE GAP),09/02/2024,3.9,0.0, ,20.0,12.6,99,62,6.83,23.29
WALLAN (KILMORE GAP),10/02/2024,5.2,0.2, ,24.6,10.3,99,51,6.34,26.66
WALLAN (KILMORE GAP),11/02/2024,6.9,0.0, ,28.6,11.5,80,43,7.56,27.33
WALLAN (KILMORE GAP),12/02/2024,8.3,0.0, ,33.1,17.2,84,30,6.82,26.25
WALLAN (KILMORE GAP),13/02/2024,7.6,0.0, ,33.0,18.5,93,34,9.44,15.71
WALLAN (KILMORE GAP),14/02/2024,3.8,7.0, ,17.8,8.7,91,50,6.00,20.24
WALLAN (KILMORE GAP),15/02/2024,5.0,0.0, ,21.1,7.4,89,42,6.80,25.40
WALLAN (KILMORE GAP),16/02/2024,4.1,0.0, ,22.2,9.6,98,58,5.30,22.77
WALLAN (KILMORE GAP),17/02/2024,4.8,0.0, ,24.7,11.0,99,50,5.05,23.63
WALLAN (KILMORE GAP),18/02/2024,4.8,0.0, ,22.7,12.1,98,49,7.36,24.20
WALLAN (KILMORE GAP),19/02/2024,4.5,0.0, ,21.9,11.6,97,56,8.50,25.16
WALLAN (KILMORE GAP),20/02/2024,6.1,0.0, ,29.5,12.8,99,35,4.94,24.03
WALLAN (KILMORE GAP),21/02/2024,6.7,0.0, ,28.9,17.1,85,40,7.31,23.27
WALLAN (KILMORE GAP),22/02/2024,8.0,0.0, ,32.7,18.2,97,34,9.51,21.91
WALLAN (KILMORE GAP),23/02/2024,3.7,1.8, ,18.9,11.9,98,46,6.69,16.56
WALLAN (KILMORE GAP),24/02/2024,4.3,0.4, ,19.8,10.4,90,53,7.06,23.57
WALLAN (KILMORE GAP),25/02/2024,6.4,0.0, ,28.1,10.1,93,29,6.34,21.34
WALLAN (KILMORE GAP),26/02/2024,3.8,0.4, ,20.2,12.2,99,51,7.59,17.20
WALLAN (KILMORE GAP),27/02/2024,6.6,0.2, ,29.2,9.0,97,26,5.29,24.08
WALLAN (KILMORE GAP),28/02/2024,8.9,0.0, ,32.1,12.3,54,25,9.23,12.70
WALLAN (KILMORE GAP),29/02/2024,4.9,0.0, ,25.6,14.4,94,40,4.75,20.45
Totals:,,162.4,10.4, ,,,,,, 
