'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALPEUP RESEARCH Victoria for June 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 July 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALPEUP RESEARCH,01/06/2011,1.5,0.2, ,19.4,2.3,93,51,1.87,12.33
WALPEUP RESEARCH,02/06/2011,2.2,0.0, ,20.7,8.4,86,46,3.43,12.27
WALPEUP RESEARCH,03/06/2011,2.3,0.0, ,18.8,10.0,80,47,3.93,9.78
WALPEUP RESEARCH,04/06/2011,1.6,3.8, ,17.0,10.7,96,47,2.55,11.67
WALPEUP RESEARCH,05/06/2011,2.1,0.2, ,16.8,8.3,94,38,4.07,11.46
WALPEUP RESEARCH,06/06/2011,1.2,0.4, ,13.5,5.6,93,37,1.54,12.53
WALPEUP RESEARCH,07/06/2011,1.8,0.4, ,15.1,7.5,93,53,5.00,9.19
WALPEUP RESEARCH,08/06/2011,1.5,0.2, ,13.1,0.9,94,45,3.23,11.68
WALPEUP RESEARCH,09/06/2011,1.6,0.2, ,14.7,0.0,94,48,3.25,11.85
WALPEUP RESEARCH,10/06/2011,1.2,0.2, ,13.8,3.2,97,59,3.03,8.24
WALPEUP RESEARCH,11/06/2011,1.5,0.2, ,14.3,2.8,97,51,3.50,11.77
WALPEUP RESEARCH,12/06/2011,1.6,0.2, ,15.4,4.3,96,50,3.56,11.25
WALPEUP RESEARCH,13/06/2011,1.5,0.2, ,15.1,3.1,95,53,3.06,11.94
WALPEUP RESEARCH,14/06/2011,1.4,0.2, ,15.1,1.9,96,52,2.77,11.96
WALPEUP RESEARCH,15/06/2011,1.3,0.0, ,16.1,1.6,94,51,2.09,11.97
WALPEUP RESEARCH,16/06/2011,2.2,0.0, ,16.8,4.2,86,41,4.20,10.10
WALPEUP RESEARCH,17/06/2011,2.1,0.0, ,15.9,6.5,93,49,5.86,10.70
WALPEUP RESEARCH,18/06/2011,1.3,0.2, ,16.6,5.6,96,67,3.50,9.73
WALPEUP RESEARCH,19/06/2011,2.1,2.6, ,17.9,8.3,93,49,4.72,8.63
WALPEUP RESEARCH,20/06/2011,2.8,0.2, ,19.1,7.4,95,43,6.57,10.20
WALPEUP RESEARCH,21/06/2011,1.9,5.8, ,11.8,6.1,92,46,6.37,11.48
WALPEUP RESEARCH,22/06/2011,1.0,1.4, ,13.5,5.0,95,78,4.77,8.99
WALPEUP RESEARCH,23/06/2011,1.1,1.2, ,16.1,6.9,96,73,3.06,10.01
WALPEUP RESEARCH,24/06/2011,1.5,0.6, ,18.4,7.3,95,54,2.57,11.39
WALPEUP RESEARCH,25/06/2011,2.1,0.0, ,17.3,7.7,88,45,4.32,11.65
WALPEUP RESEARCH,26/06/2011,2.2,0.0, ,19.1,3.9,87,37,3.45,11.59
WALPEUP RESEARCH,27/06/2011,1.5,0.0, ,15.6,4.7,96,51,2.86,11.84
WALPEUP RESEARCH,28/06/2011,1.4,0.0, ,15.4,5.0,90,51,2.64,11.88
WALPEUP RESEARCH,29/06/2011,1.8,0.0, ,18.4,5.0,86,50,3.23,11.52
WALPEUP RESEARCH,30/06/2011,1.8,0.0, ,18.0,6.7,85,53,3.25,11.03
Totals:,,51.1,18.4, ,,,,,, 
