'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALPEUP RESEARCH Victoria for June 2017,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 July 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALPEUP RESEARCH,01/06/2017,1.3,0.0, ,14.3,3.6,93,49,2.29,10.88
WALPEUP RESEARCH,02/06/2017,1.2,0.0, ,14.5,2.9,89,51,1.78,10.83
WALPEUP RESEARCH,03/06/2017,1.4,0.0, ,15.9,4.7,84,48,1.89,10.79
WALPEUP RESEARCH,04/06/2017,1.1, , ,16.0,3.4,92,47,1.31,10.74
WALPEUP RESEARCH,05/06/2017,1.3,0.0, ,17.0,3.8,98,61,2.31,10.23
WALPEUP RESEARCH,06/06/2017,1.6,0.0, ,14.3,6.2,99,49,3.73,10.66
WALPEUP RESEARCH,07/06/2017,1.3,0.0, ,14.7,1.8,99,51,2.57,10.63
WALPEUP RESEARCH,08/06/2017,1.1,0.2, ,15.9,0.3,99,53,1.68,10.42
WALPEUP RESEARCH,09/06/2017,1.6,0.0, ,15.1,2.4,99,52,3.83,10.56
WALPEUP RESEARCH,10/06/2017,1.6,0.4, ,17.3,4.7,100,52,3.07,10.54
WALPEUP RESEARCH,11/06/2017,1.3, , ,18.2,4.1,99,53,2.11,10.52
WALPEUP RESEARCH,12/06/2017,1.2,0.0, ,18.4,4.8,99,56,1.75,9.15
WALPEUP RESEARCH,13/06/2017,1.0,0.0, ,16.6,5.9,100,65,1.49,9.44
WALPEUP RESEARCH,14/06/2017,1.5,0.2, ,18.4,6.4,98,53,2.58,10.44
WALPEUP RESEARCH,15/06/2017,1.6,0.0, ,17.7,8.9,84,56,2.79,7.61
WALPEUP RESEARCH,16/06/2017,1.0,0.0, ,14.8,8.7,90,69,1.87,5.42
WALPEUP RESEARCH,17/06/2017,0.8,0.0, ,16.0,9.6,96,61,0.69,5.25
WALPEUP RESEARCH,18/06/2017,0.9,0.0, ,17.1,4.8,100,60,1.15,9.76
WALPEUP RESEARCH,19/06/2017,1.0,0.2, ,17.9,6.3,100,59,1.18,10.03
WALPEUP RESEARCH,20/06/2017,1.4,0.0, ,16.9,6.5,93,52,2.57,10.44
WALPEUP RESEARCH,21/06/2017,1.2,0.2, ,18.3,5.3,99,48,1.61,10.44
WALPEUP RESEARCH,22/06/2017,1.3,0.0, ,16.3,3.5,100,56,2.51,10.40
WALPEUP RESEARCH,23/06/2017,2.1,0.2, ,18.6,5.2,94,40,3.61,9.52
WALPEUP RESEARCH,24/06/2017,1.0,0.2, ,16.5,4.2,100,54,1.25,10.42
WALPEUP RESEARCH,25/06/2017,1.6,0.2, ,16.8,5.8,97,46,2.78,10.22
WALPEUP RESEARCH,26/06/2017,0.8,0.2, ,14.4,3.3,100,62,1.19,8.38
WALPEUP RESEARCH,27/06/2017,1.1,0.0, ,13.7,5.6,82,64,2.19,6.23
WALPEUP RESEARCH,28/06/2017,1.5,0.2, ,16.3,7.0,88,51,2.65,9.80
WALPEUP RESEARCH,29/06/2017,1.6,0.0, ,16.1,3.2,100,43,2.90,10.09
WALPEUP RESEARCH,30/06/2017,1.1,0.0, ,13.1,1.9,99,45,1.83,10.60
Totals:,,38.5,2.2, ,,,,,, 
