'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALPEUP RESEARCH Victoria for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALPEUP RESEARCH,01/02/2023,6.5,0.0, ,27.6,12.6,83,34,4.86,27.03
WALPEUP RESEARCH,02/02/2023,5.0,0.0, ,24.2,9.1,93,37,6.20,16.46
WALPEUP RESEARCH,03/02/2023,4.4,1.2, ,19.3,10.0,90,40,6.53,19.23
WALPEUP RESEARCH,04/02/2023,4.8,3.6, ,24.9,7.6,95,38,4.02,20.64
WALPEUP RESEARCH,05/02/2023,5.7,0.0, ,28.4,9.2,93,29,2.36,28.85
WALPEUP RESEARCH,06/02/2023,7.0,0.0, ,31.3,12.2,85,23,3.50,28.65
WALPEUP RESEARCH,07/02/2023,7.9,0.0, ,32.8,12.7,86,16,4.07,28.38
WALPEUP RESEARCH,08/02/2023,7.4,0.0, ,33.6,12.5,83,14,3.21,28.17
WALPEUP RESEARCH,09/02/2023,7.4,0.0, ,36.7,16.1,56,11,2.41,28.00
WALPEUP RESEARCH,10/02/2023,11.9,0.0, ,41.2,19.5,64,10,6.10,27.72
WALPEUP RESEARCH,11/02/2023,7.3,0.0, ,29.8,14.9,88,31,6.27,26.66
WALPEUP RESEARCH,12/02/2023,6.7,0.0, ,28.1,13.1,89,25,5.21,25.27
WALPEUP RESEARCH,13/02/2023,6.6,0.0, ,27.3,7.8,85,26,5.04,27.05
WALPEUP RESEARCH,14/02/2023,6.6,0.0, ,29.9,10.7,83,19,3.42,26.88
WALPEUP RESEARCH,15/02/2023,7.4,0.0, ,36.3,15.6,52,13,2.68,26.46
WALPEUP RESEARCH,16/02/2023,9.5,0.0, ,40.4,21.3,44,13,3.93,26.51
WALPEUP RESEARCH,17/02/2023,10.4,0.0, ,40.8,25.6,54,14,5.00,25.92
WALPEUP RESEARCH,18/02/2023,7.3,0.0, ,32.6,12.3,88,16,3.89,25.84
WALPEUP RESEARCH,19/02/2023,6.7,0.0, ,34.6,14.3,67,15,2.46,25.78
WALPEUP RESEARCH,20/02/2023,8.0,0.0, ,37.7,15.3,75,13,3.40,25.58
WALPEUP RESEARCH,21/02/2023,8.5,0.0, ,35.5,20.2,54,25,5.06,23.20
WALPEUP RESEARCH,22/02/2023,7.4,0.0, ,35.3,12.7,67,13,3.14,25.10
WALPEUP RESEARCH,23/02/2023,8.0,0.0, ,34.8,17.9,61,23,4.40,25.00
WALPEUP RESEARCH,24/02/2023,8.9,0.0, ,37.8,19.2,47,21,4.52,23.79
WALPEUP RESEARCH,25/02/2023,4.0,0.0, ,26.8,21.8,83,36,3.58,9.94
WALPEUP RESEARCH,26/02/2023,5.3,0.0, ,26.7,9.6,97,34,3.68,24.60
WALPEUP RESEARCH,27/02/2023,5.6,0.2, ,28.9,12.2,95,30,3.40,24.10
WALPEUP RESEARCH,28/02/2023,5.5,0.0, ,28.0,12.4,84,36,4.28,21.77
Totals:,,197.7,5, ,,,,,, 
