'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALPEUP RESEARCH Victoria for March 2024,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 April 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALPEUP RESEARCH,01/03/2024,6.7,0.0, ,35.9,16.0,71,25,3.15,22.45
WALPEUP RESEARCH,02/03/2024,5.7,0.0, ,28.9,14.4,79,28,3.41,23.07
WALPEUP RESEARCH,03/03/2024,6.7,0.0, ,28.7,10.8,71,19,4.63,23.52
WALPEUP RESEARCH,04/03/2024,6.2,0.0, ,29.9,9.3,74,10,3.17,23.31
WALPEUP RESEARCH,05/03/2024,6.4,0.0, ,35.0,13.5,45,10,2.43,23.10
WALPEUP RESEARCH,06/03/2024,6.7,0.0, ,38.1,18.2,46,10,2.58,20.52
WALPEUP RESEARCH,07/03/2024,7.1,0.0, ,34.3,15.7,83,24,4.24,22.76
WALPEUP RESEARCH,08/03/2024,6.5,0.0, ,36.1,14.0,69,15,2.68,22.53
WALPEUP RESEARCH,09/03/2024,9.8,0.0, ,41.6,18.1,33,18,4.83,20.68
WALPEUP RESEARCH,10/03/2024,8.2,0.0, ,38.6,23.5,40,17,3.85,22.06
WALPEUP RESEARCH,11/03/2024,7.6,0.0, ,38.6,22.1,44,17,3.47,20.13
WALPEUP RESEARCH,12/03/2024,8.7,0.0, ,41.2,23.9,54,13,4.03,20.93
WALPEUP RESEARCH,13/03/2024,7.2,0.0, ,36.5,19.8,70,21,4.59,14.85
WALPEUP RESEARCH,14/03/2024,2.9,0.0, ,21.6,18.0,84,54,4.00,8.24
WALPEUP RESEARCH,15/03/2024,5.6,0.2, ,31.3,13.1,82,27,3.36,19.79
WALPEUP RESEARCH,16/03/2024,5.6,0.0, ,31.3,15.9,76,39,3.87,20.31
WALPEUP RESEARCH,17/03/2024,2.1,0.0, ,23.6,17.1,95,70,2.91,8.33
WALPEUP RESEARCH,18/03/2024,5.1,14.4, ,31.9,17.6,91,37,3.00,20.84
WALPEUP RESEARCH,19/03/2024,5.9,0.2, ,30.8,18.2,92,27,5.22,15.89
WALPEUP RESEARCH,20/03/2024,5.1,0.0, ,22.5,9.4,85,24,5.43,20.22
WALPEUP RESEARCH,21/03/2024,4.8,0.0, ,24.9,6.8,73,20,3.24,20.04
WALPEUP RESEARCH,22/03/2024,5.1,0.0, ,28.5,8.5,75,20,3.04,19.84
WALPEUP RESEARCH,23/03/2024,5.5,0.0, ,26.7,10.9,85,24,4.83,19.60
WALPEUP RESEARCH,24/03/2024,4.8,0.0, ,25.3,6.8,88,24,3.86,19.32
WALPEUP RESEARCH,25/03/2024, ,0.0, , ,7.8,100,26,2.40,19.13
WALPEUP RESEARCH,26/03/2024,4.6, , ,27.3,9.5,95,27,3.38,18.90
WALPEUP RESEARCH,27/03/2024,4.8,0.0, ,26.7,10.6,88,29,3.85,18.86
WALPEUP RESEARCH,28/03/2024,4.7,0.0, ,26.4,10.3,88,28,3.70,18.47
WALPEUP RESEARCH,29/03/2024,4.6,0.0, ,31.1,11.1,70,18,2.17,18.27
WALPEUP RESEARCH,30/03/2024,5.9,0.0, ,34.7,13.6,36,16,2.87,17.50
WALPEUP RESEARCH,31/03/2024, ,0.0, , ,17.5,56,22,3.08,17.65
Totals:,,170.6,14.8, ,,,,,, 
