'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANGARATTA AERO Victoria for November 2010,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 December 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANGARATTA AERO,01/11/2010,4.0,3.8, ,18.3,7.3,98,52,3.45,26.94
WANGARATTA AERO,02/11/2010,4.4,0.0, ,20.0,7.1,92,46,4.83,24.79
WANGARATTA AERO,03/11/2010,4.2,0.0, ,17.9,8.0,93,47,4.19,27.56
WANGARATTA AERO,04/11/2010,3.9,0.0, ,18.9,7.7,92,43,2.78,23.03
WANGARATTA AERO,05/11/2010,4.7,1.0, ,21.5,8.6,95,32,2.76,26.98
WANGARATTA AERO,06/11/2010,4.8,0.4, ,22.4,6.6,99,35,1.95,30.32
WANGARATTA AERO,07/11/2010,5.3,0.2, ,25.5,7.3,99,41,3.72,28.05
WANGARATTA AERO,08/11/2010,5.0,3.6, ,25.3,13.0,99,38,2.53,26.16
WANGARATTA AERO,09/11/2010,5.4,0.0, ,27.6,8.0,99,21,1.37,30.89
WANGARATTA AERO,10/11/2010,5.3,0.0, ,30.0,11.6,98,34,2.50,23.40
WANGARATTA AERO,11/11/2010,5.6,0.0, ,30.5,10.7,99,37,1.72,28.86
WANGARATTA AERO,12/11/2010,6.3,0.0, ,32.3,15.1,99,38,3.48,25.71
WANGARATTA AERO,13/11/2010,3.7,0.0, ,27.8,16.3,100,57,2.61,15.88
WANGARATTA AERO,14/11/2010,3.9,35.2, ,24.6,15.8,100,61,2.99,19.55
WANGARATTA AERO,15/11/2010,5.5,0.0, ,22.7,13.7,98,34,3.66,29.36
WANGARATTA AERO,16/11/2010,4.9,0.0, ,20.8,9.5,88,38,3.40,27.25
WANGARATTA AERO,17/11/2010,5.3,0.0, ,23.0,6.3,99,28,2.10,32.14
WANGARATTA AERO,18/11/2010,5.5,0.0, ,24.2,7.0,99,33,3.12,30.93
WANGARATTA AERO,19/11/2010,5.8,0.0, ,26.0,7.8,98,31,2.25,32.85
WANGARATTA AERO,20/11/2010,5.8,0.0, ,27.5,9.1,99,34,1.80,32.51
WANGARATTA AERO,21/11/2010,5.7,0.0, ,30.1,10.9,99,23,1.82,27.87
WANGARATTA AERO,22/11/2010,6.4,0.0, ,30.7,12.7,99,29,2.00,32.23
WANGARATTA AERO,23/11/2010,6.4,0.0, ,29.9,11.5,99,31,2.94,29.63
WANGARATTA AERO,24/11/2010,5.7,0.0, ,30.2,16.3,96,32,2.46,24.55
WANGARATTA AERO,25/11/2010,3.4,0.0, ,25.2,17.4,98,57,1.66,15.88
WANGARATTA AERO,26/11/2010,3.6,2.0, ,23.6,14.3,100,60,2.52,18.67
WANGARATTA AERO,27/11/2010, ,0.0, , ,12.3,100,40,2.60,17.30
WANGARATTA AERO,28/11/2010, , , ,22.2, ,100,59,3.22,19.09
WANGARATTA AERO,29/11/2010, ,0.2, ,23.9,11.4, , , ,21.61
WANGARATTA AERO,30/11/2010, , , , , , , , ,17.74
Totals:,,130.5,46.4, ,,,,,, 
