'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANGARATTA AERO Victoria for September 2011,,,,,,,,,,
Issued at 22:35 GMT on Saturday 01 October 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANGARATTA AERO,01/09/2011,1.9,0.0, ,19.1,0.8,100,41,0.57,17.39
WANGARATTA AERO,02/09/2011,2.3,0.0, ,19.7,1.3,100,39,1.29,17.78
WANGARATTA AERO,03/09/2011,2.6,0.0, ,19.3,1.5,100,42,2.37,16.61
WANGARATTA AERO,04/09/2011,2.1,0.0, ,18.8,7.2,100,54,2.84,9.62
WANGARATTA AERO,05/09/2011,2.5,0.2, ,21.2,3.3,100,50,2.25,15.65
WANGARATTA AERO,06/09/2011,2.0,2.6, ,18.7,10.9,100,54,3.34,7.56
WANGARATTA AERO,07/09/2011,2.1,1.6, ,14.6,0.3,99,44,1.71,17.67
WANGARATTA AERO,08/09/2011,2.2,0.0, ,15.9,0.0,99,43,1.80,17.00
WANGARATTA AERO,09/09/2011,2.4,0.0, ,13.8,2.9,97,51,5.05,15.96
WANGARATTA AERO,10/09/2011,2.6,0.0, ,14.9,3.7,94,55,6.17,15.57
WANGARATTA AERO,11/09/2011,2.9,0.0, ,15.6,5.8,94,46,5.64,14.99
WANGARATTA AERO,12/09/2011,2.3,0.0, ,14.8,-2.5,99,47,1.81,19.95
WANGARATTA AERO,13/09/2011,1.9,0.0, ,16.8,0.7,99,48,1.26,12.48
WANGARATTA AERO,14/09/2011,2.8,0.0, ,20.3,-0.3,99,48,2.54,17.48
WANGARATTA AERO,15/09/2011,2.7,0.0, ,16.8,0.6,99,38,2.18,19.86
WANGARATTA AERO,16/09/2011,2.2,0.0, ,20.3,3.7,99,44,1.20,13.81
WANGARATTA AERO,17/09/2011,2.7,0.0, ,22.4,2.3,100,47,1.59,17.09
WANGARATTA AERO,18/09/2011,3.2,0.0, ,23.3,4.5,99,35,1.43,21.02
WANGARATTA AERO,19/09/2011,5.7,0.0, ,26.8,3.9,99,20,4.95,20.17
WANGARATTA AERO,20/09/2011,2.0,0.4, ,14.2,8.8,99,59,4.07,9.92
WANGARATTA AERO,21/09/2011,2.2,4.4, ,17.6,2.5,100,57,1.01,16.58
WANGARATTA AERO,22/09/2011,3.7,0.2, ,22.8,3.0,100,40,2.74,21.72
WANGARATTA AERO,23/09/2011,3.8,0.0, ,17.2,9.2,85,41,4.65,22.37
WANGARATTA AERO,24/09/2011,2.9,0.0, ,18.2,1.0,99,41,2.27,19.18
WANGARATTA AERO,25/09/2011,3.5,0.0, ,19.9,3.1,94,33,2.46,22.33
WANGARATTA AERO,26/09/2011,3.3,0.0, ,19.4,1.3,99,35,1.91,22.68
WANGARATTA AERO,27/09/2011,2.7,0.0, ,20.7,5.1,98,46,2.17,13.79
WANGARATTA AERO,28/09/2011,2.3,1.6, ,19.5,10.7,99,51,4.05,6.08
WANGARATTA AERO,29/09/2011,1.5,26.4, ,12.8,9.4,99,75,5.55,7.51
WANGARATTA AERO,30/09/2011,3.1,9.4, ,15.9,7.0,95,47,4.08,19.09
Totals:,,80.1,46.8, ,,,,,, 
