'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANGARATTA AERO Victoria for October 2011,,,,,,,,,,
Issued at 22:34 GMT on Tuesday 01 November 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANGARATTA AERO,01/10/2011,1.9,3.8, ,14.8,8.0,99,61,2.29,11.10
WANGARATTA AERO,02/10/2011,3.3,0.2, ,18.2,5.4,93,42,2.65,20.39
WANGARATTA AERO,03/10/2011,3.0,0.0, ,18.4,1.6,98,38,1.00,22.76
WANGARATTA AERO,04/10/2011,3.4,0.0, ,20.2,2.6,99,35,1.43,24.10
WANGARATTA AERO,05/10/2011,2.3,0.0, ,18.4,5.1,99,54,1.58,13.69
WANGARATTA AERO,06/10/2011,1.5,0.0, ,17.6,10.2,99,63,0.45,7.70
WANGARATTA AERO,07/10/2011,3.3,0.6, ,21.9,8.0,100,46,1.39,21.38
WANGARATTA AERO,08/10/2011,3.7,0.0, ,21.6,9.2,99,47,2.36,22.50
WANGARATTA AERO,09/10/2011,2.9,1.0, ,17.7,9.2,99,50,3.56,15.53
WANGARATTA AERO,10/10/2011,2.5,0.8, ,13.3,3.4,90,53,3.06,17.32
WANGARATTA AERO,11/10/2011,2.9,0.0, ,16.5,5.9,95,48,3.73,16.05
WANGARATTA AERO,12/10/2011,3.7,0.0, ,19.6,1.4,99,40,1.94,25.97
WANGARATTA AERO,13/10/2011,3.9,0.0, ,22.3,3.2,99,41,1.63,25.88
WANGARATTA AERO,14/10/2011,4.2,0.0, ,24.7,7.3,99,46,2.46,24.17
WANGARATTA AERO,15/10/2011,4.5,0.0, ,24.5,9.8,99,44,3.63,23.64
WANGARATTA AERO,16/10/2011,4.8,0.0, ,18.1,7.4,80,31,5.41,25.79
WANGARATTA AERO,17/10/2011,4.0,0.0, ,20.1,2.0,93,24,1.67,27.45
WANGARATTA AERO,18/10/2011,4.3,0.0, ,23.5,2.6,99,28,1.65,27.27
WANGARATTA AERO,19/10/2011,4.9,0.0, ,26.9,5.1,97,28,2.04,27.09
WANGARATTA AERO,20/10/2011,5.4,0.0, ,28.8,6.9,99,24,2.29,27.16
WANGARATTA AERO,21/10/2011,2.4,0.0, ,21.8,12.0,97,44,1.22,10.75
WANGARATTA AERO,22/10/2011,3.1,0.0, ,24.3,12.6,100,47,1.71,14.62
WANGARATTA AERO,23/10/2011,5.1,0.0, ,30.8,8.4,96,26,1.54,25.96
WANGARATTA AERO,24/10/2011,2.5,0.0, ,24.7,15.3,98,47,2.71,5.72
WANGARATTA AERO,25/10/2011,3.7,10.2, ,22.0,11.5,99,48,2.60,19.44
WANGARATTA AERO,26/10/2011,4.8,0.0, ,24.0,10.1,87,36,1.88,27.73
WANGARATTA AERO,27/10/2011,4.8,0.0, ,23.7,9.2,94,35,2.16,28.24
WANGARATTA AERO,28/10/2011,4.4,0.0, ,26.5,10.4,96,48,2.99,21.44
WANGARATTA AERO,29/10/2011,4.9,5.4, ,24.7,15.7,100,36,3.98,22.38
WANGARATTA AERO,30/10/2011,4.3,0.2, ,19.6,9.6,84,53,6.04,24.24
WANGARATTA AERO,31/10/2011,5.3,0.0, ,22.4,5.9,85,32,3.64,29.28
Totals:,,115.7,22.2, ,,,,,, 
