'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANGARATTA AERO Victoria for September 2013,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANGARATTA AERO,01/09/2013,2.7,0.0, ,21.0,3.7,99,45,1.72,19.78
WANGARATTA AERO,02/09/2013,2.7,0.0, ,24.0,5.8,99,43,0.90,20.32
WANGARATTA AERO,03/09/2013,2.6,0.0, ,23.5,5.3,99,49,0.68,20.45
WANGARATTA AERO,04/09/2013,3.0,0.0, ,22.9,6.0,100,50,2.03,20.21
WANGARATTA AERO,05/09/2013,2.4,0.0, ,21.7,10.9,99,50,2.06,12.47
WANGARATTA AERO,06/09/2013,2.4,0.0, ,20.1,13.3,98,40,1.83,12.29
WANGARATTA AERO,07/09/2013,3.1,0.6, ,18.6,9.4,98,42,2.46,21.27
WANGARATTA AERO,08/09/2013,2.6,0.0, ,18.3,2.4,99,43,1.16,21.52
WANGARATTA AERO,09/09/2013,3.7,0.0, ,22.3,6.9,97,34,3.96,17.39
WANGARATTA AERO,10/09/2013,3.1,0.0, ,17.2,12.4,82,51,4.96,15.78
WANGARATTA AERO,11/09/2013,2.3,0.0, ,15.6,6.3,97,61,3.53,16.78
WANGARATTA AERO,12/09/2013,2.4,0.0, ,15.0,1.3,99,48,2.29,20.00
WANGARATTA AERO,13/09/2013,1.9,0.0, ,13.8,-0.1,94,44,1.98,11.63
WANGARATTA AERO,14/09/2013,2.9,0.0, ,18.9,4.2,96,47,1.76,21.80
WANGARATTA AERO,15/09/2013,3.1,0.0, ,20.0,2.5,99,43,1.54,23.25
WANGARATTA AERO,16/09/2013,1.1,6.4, ,13.3,7.5,99,74,2.42,4.87
WANGARATTA AERO,17/09/2013,2.4,36.6, ,19.3,11.3,100,67,2.96,15.50
WANGARATTA AERO,18/09/2013,2.4,0.2, ,18.1,8.7,99,62,4.28,12.97
WANGARATTA AERO,19/09/2013,2.3,1.0, ,14.0,7.6,88,60,4.12,14.36
WANGARATTA AERO,20/09/2013,2.5,1.8, ,16.0,7.6,93,60,4.30,15.68
WANGARATTA AERO,21/09/2013,3.2,0.0, ,17.6,3.3,99,45,1.85,24.34
WANGARATTA AERO,22/09/2013,3.3,0.6, ,20.2,6.1,99,51,2.86,22.08
WANGARATTA AERO,23/09/2013,3.8,0.0, ,23.3,3.8,99,39,2.50,23.23
WANGARATTA AERO,24/09/2013,4.2,0.0, ,22.1,11.1,96,39,3.06,24.79
WANGARATTA AERO,25/09/2013,3.8,0.0, ,23.8,9.2,99,38,2.23,21.65
WANGARATTA AERO,26/09/2013,3.8,1.0, ,15.7,11.5,95,37,7.53,19.26
WANGARATTA AERO,27/09/2013,3.6,0.0, ,18.3,0.7,99,41,2.04,27.10
WANGARATTA AERO,28/09/2013,3.5,0.0, ,17.0,4.9,93,44,4.44,22.89
WANGARATTA AERO,29/09/2013,3.6,0.0, ,20.5,1.2,99,43,1.60,26.17
WANGARATTA AERO,30/09/2013,3.7,0.0, ,26.3,5.9,99,27,2.30,14.24
Totals:,,88.1,48.2, ,,,,,, 
