'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WESTMERE Victoria for March 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 April 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WESTMERE,01/03/2018,4.0,0.6, ,23.4,12.9,95,46,4.24,17.66
WESTMERE,02/03/2018,4.2,0.0, ,27.9,8.0,95,26,1.93,19.36
WESTMERE,03/03/2018,5.5,0.0, ,26.2,9.5,87,30,4.62,21.98
WESTMERE,04/03/2018,3.8,0.0, ,20.8,7.9,95,38,3.53,19.13
WESTMERE,05/03/2018,3.5,0.0, ,20.9,3.6,94,38,4.33,12.40
WESTMERE,06/03/2018,5.5,0.0, ,25.3,9.1,92,30,5.35,22.16
WESTMERE,07/03/2018,5.3,0.0, ,30.5,5.9,97,21,2.48,22.69
WESTMERE,08/03/2018,5.7,0.0, ,32.4,8.3,90,16,2.52,22.56
WESTMERE,09/03/2018,5.8,0.0, ,33.6,8.3,88,15,2.47,22.29
WESTMERE,10/03/2018,6.5,0.0, ,35.3,10.2,72,12,2.86,22.01
WESTMERE,11/03/2018,4.4,0.0, ,24.2,12.8,82,45,4.46,18.70
WESTMERE,12/03/2018,4.2,0.0, ,21.6,10.2,76,43,5.53,15.49
WESTMERE,13/03/2018,4.2,0.0, ,22.4,12.5,85,40,4.28,18.32
WESTMERE,14/03/2018,4.4,0.0, ,24.0,10.9,85,32,3.30,20.39
WESTMERE,15/03/2018,3.0,0.0, ,22.1,5.1,92,40,2.39,13.19
WESTMERE,16/03/2018,3.7,0.0, ,26.5,6.0,97,27,2.12,15.69
WESTMERE,17/03/2018,8.7,0.0, ,31.2,10.4,63,16,8.27,13.27
WESTMERE,18/03/2018,5.0,1.4, ,20.3,12.9,86,29,8.08,18.15
WESTMERE,19/03/2018,3.6,0.0, ,23.7,10.2,94,48,6.30,9.03
WESTMERE,20/03/2018,3.2,0.4, ,18.1,10.5,91,44,5.56,12.02
WESTMERE,21/03/2018,5.5,0.0, ,23.9,9.8,75,40,8.42,18.72
WESTMERE,22/03/2018,5.2,0.0, ,29.0,10.8,89,30,4.46,16.42
WESTMERE,23/03/2018,5.8,0.0, ,29.3,11.2,73,29,4.72,18.42
WESTMERE,24/03/2018,3.3,13.8, ,25.6,16.6,96,47,3.89,10.43
WESTMERE,25/03/2018,4.7,1.8, ,21.7,15.4,90,35,8.40,14.20
WESTMERE,26/03/2018,3.0,4.6, ,16.5,6.7,88,47,5.71,13.72
WESTMERE,27/03/2018,3.3,0.2, ,20.6,4.9,93,36,4.05,12.01
WESTMERE,28/03/2018,5.2,0.0, ,25.5,9.0,92,27,5.63,17.96
WESTMERE,29/03/2018,3.3,0.0, ,22.7,12.9,94,38,2.55,17.29
WESTMERE,30/03/2018,3.5,0.0, ,22.4,10.5,89,45,4.23,14.48
WESTMERE,31/03/2018,2.5,0.0, ,21.2,3.1,96,36,1.17,17.18
Totals:,,139.5,22.8, ,,,,,, 
