'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WESTMERE Victoria for March 2024,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 April 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WESTMERE,01/03/2024, , , ,27.9, ,98,26,2.72,21.89
WESTMERE,02/03/2024,4.1,0.0, ,22.4,10.9,96,37,3.61,19.36
WESTMERE,03/03/2024,3.3,0.0, ,20.6,4.0,94,50,4.85,14.14
WESTMERE,04/03/2024,5.0,0.0, ,23.0,6.3,84,32,5.01,21.72
WESTMERE,05/03/2024, ,0.0, , ,4.6,95,11,2.33,21.41
WESTMERE,06/03/2024,5.3, , ,30.1,10.2,86,27,3.09,20.24
WESTMERE,07/03/2024,5.1,0.0, ,25.5,13.4,90,34,4.83,20.92
WESTMERE,08/03/2024,4.9,0.0, ,31.6,6.4,98,20,2.12,20.05
WESTMERE,09/03/2024,8.3,0.0, ,39.0,8.6,95,16,4.21,20.55
WESTMERE,10/03/2024,9.3,0.0, ,38.3,20.7,58,19,5.81,20.14
WESTMERE,11/03/2024,8.0,0.0, ,37.4,16.7,61,19,4.62,18.51
WESTMERE,12/03/2024,3.2,0.0, ,23.5,18.6,84,40,4.01,5.59
WESTMERE,13/03/2024,2.8,0.2, ,21.5,13.9,89,55,3.90,9.77
WESTMERE,14/03/2024,3.4,0.0, ,22.1,14.1,91,48,5.10,11.24
WESTMERE,15/03/2024,4.9,0.0, ,26.6,10.2,88,37,4.62,18.41
WESTMERE,16/03/2024,4.9,0.0, ,30.1,11.6,95,28,3.25,17.40
WESTMERE,17/03/2024,5.2,0.0, ,28.8,11.7,75,36,4.27,18.28
WESTMERE,18/03/2024,5.5,0.0, ,31.8,11.4,83,29,3.72,17.24
WESTMERE,19/03/2024,3.9,0.0, ,25.7,18.6,93,48,5.70,12.05
WESTMERE,20/03/2024,3.9,0.2, ,18.3,8.7,86,30,5.49,15.85
WESTMERE,21/03/2024,3.4,0.0, ,21.6,0.6,91,35,2.58,18.04
WESTMERE,22/03/2024,3.4,0.0, ,22.8,1.6,96,36,2.62,17.50
WESTMERE,23/03/2024,3.1,0.0, ,20.9,5.2,98,38,3.14,14.36
WESTMERE,24/03/2024,3.4,0.0, ,21.9,4.0,91,41,3.53,15.38
WESTMERE,25/03/2024,3.7,0.0, ,23.6,8.0,92,40,3.65,15.84
WESTMERE,26/03/2024,3.0,0.0, ,21.6,5.4,95,45,2.93,15.14
WESTMERE,27/03/2024,3.0,0.0, ,22.1,5.8,98,47,3.32,13.43
WESTMERE,28/03/2024,3.1,0.0, ,21.2,9.0,94,45,3.26,15.05
WESTMERE,29/03/2024,3.6,0.0, ,27.5,2.2,98,24,1.93,16.36
WESTMERE,30/03/2024, ,0.0, , ,4.7,94,23,1.64,16.16
WESTMERE,31/03/2024, , , ,29.6, ,98,22,2.23,15.68
Totals:,,120.7,0.4, ,,,,,, 
