'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WESTMERE Victoria for April 2024,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 May 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WESTMERE,01/04/2024,2.8,0.0, ,24.9,11.3,94,44,3.90,3.53
WESTMERE,02/04/2024,2.0,23.0, ,17.6,11.7,95,73,4.97,11.44
WESTMERE,03/04/2024,1.5,0.8, ,16.1,7.8,98,72,2.48,8.89
WESTMERE,04/04/2024,2.3,0.0, ,17.1,7.9,97,50,3.58,11.04
WESTMERE,05/04/2024,3.0,0.0, ,21.0,8.2,89,54,4.48,15.06
WESTMERE,06/04/2024,2.5,0.0, ,22.3,11.6,93,57,2.88,11.78
WESTMERE,07/04/2024,2.4,1.0, ,22.0,13.8,97,58,3.30,11.37
WESTMERE,08/04/2024,1.5,3.8, ,16.3,7.1,98,72,3.27,8.47
WESTMERE,09/04/2024, ,3.2, , ,7.0,92,46,4.43,11.60
WESTMERE,10/04/2024, , , , , ,95,60,3.69,8.27
WESTMERE,11/04/2024, , , ,16.1, ,97,63,3.12,7.52
WESTMERE,12/04/2024,1.4,0.0, ,15.0,10.1,94,61,1.89,6.99
WESTMERE,13/04/2024,1.6,0.0, ,17.2,8.5,96,59,1.78,9.29
WESTMERE,14/04/2024,1.7,0.0, ,19.6,12.3,95,49,1.10,9.88
WESTMERE,15/04/2024, ,0.0, , ,3.7,98,54,1.79,14.01
WESTMERE,16/04/2024, , , , , ,98,50,1.34,10.40
WESTMERE,17/04/2024,1.7, , ,17.2,10.8,96,63,2.91,8.85
WESTMERE,18/04/2024,1.5,0.0, ,14.9,7.3,97,64,3.79,7.02
WESTMERE,19/04/2024, ,2.4, , ,10.0,96,50,4.49,11.32
WESTMERE,20/04/2024, , , , , ,98,55,2.10,13.99
WESTMERE,21/04/2024, , , , , ,98,53,1.09,12.65
WESTMERE,22/04/2024, , , ,23.7, ,99,26,2.59,13.77
WESTMERE,23/04/2024,5.0,0.0, ,25.6,6.8,95,26,6.54,11.84
WESTMERE,24/04/2024,2.0,6.4, ,14.6,7.5,93,53,4.36,10.53
WESTMERE,25/04/2024,1.6,1.4, ,15.2,6.2,97,68,3.96,10.53
WESTMERE,26/04/2024,1.1,1.0, ,12.7,8.2,97,65,2.21,5.84
WESTMERE,27/04/2024, ,0.0, , ,9.3,91,55,1.22,10.05
WESTMERE,28/04/2024, , , , , ,93,35,3.69,12.45
WESTMERE,29/04/2024, , , , , ,95,48,3.77,8.40
WESTMERE,30/04/2024, , , ,14.0, ,96,53,4.26,6.73
Totals:,,35.6,43, ,,,,,, 
