'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILSONS PROMONTORY LIGHTHOUSE Victoria for May 2013,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILSONS PROMONTORY LIGHTHOUSE,01/05/2013,2.8,0.2, ,13.6,12.2,88,50,12.41,3.12
WILSONS PROMONTORY LIGHTHOUSE,02/05/2013,2.4,6.4, ,15.9,10.7,70,53,4.37,13.11
WILSONS PROMONTORY LIGHTHOUSE,03/05/2013,4.3,0.0, ,20.0,11.1,76,25,7.15,8.54
WILSONS PROMONTORY LIGHTHOUSE,04/05/2013,2.7,10.6, ,13.0,9.8,92,52,16.36,10.87
WILSONS PROMONTORY LIGHTHOUSE,05/05/2013,2.2,0.0, ,14.0,10.3,66,54,4.47,5.33
WILSONS PROMONTORY LIGHTHOUSE,06/05/2013,2.7,0.0, ,15.0,10.8,75,55,7.75,11.83
WILSONS PROMONTORY LIGHTHOUSE,07/05/2013,2.5,0.0, ,19.0,13.1,81,62,6.31,9.65
WILSONS PROMONTORY LIGHTHOUSE,08/05/2013,2.7,0.0, ,20.5,13.3,79,47,4.49,11.89
WILSONS PROMONTORY LIGHTHOUSE,09/05/2013,4.0,0.0, ,22.9,15.0,85,43,8.43,11.64
WILSONS PROMONTORY LIGHTHOUSE,10/05/2013,1.8,0.0, ,18.4,15.0,92,75,7.48,11.32
WILSONS PROMONTORY LIGHTHOUSE,11/05/2013,2.5,0.0, ,21.1,14.1,96,59,7.02,11.74
WILSONS PROMONTORY LIGHTHOUSE,12/05/2013,3.6,0.0, ,21.2,13.6,85,35,6.56,4.67
WILSONS PROMONTORY LIGHTHOUSE,13/05/2013,2.0,7.0, ,14.8,12.9,86,61,6.67,7.74
WILSONS PROMONTORY LIGHTHOUSE,14/05/2013,2.2,8.2, ,13.0,9.0,80,54,6.82,9.05
WILSONS PROMONTORY LIGHTHOUSE,15/05/2013,1.9,0.2, ,13.3,9.7,88,59,7.57,5.07
WILSONS PROMONTORY LIGHTHOUSE,16/05/2013,2.2,42.2, ,14.3,10.0,89,67,15.25,8.21
WILSONS PROMONTORY LIGHTHOUSE,17/05/2013,2.6,0.4, ,13.9,11.5,82,64,16.58,7.47
WILSONS PROMONTORY LIGHTHOUSE,18/05/2013,2.4,0.0, ,12.8,9.7,89,58,14.11,8.01
WILSONS PROMONTORY LIGHTHOUSE,19/05/2013,2.9,2.8, ,13.2,10.3,77,55,12.76,7.57
WILSONS PROMONTORY LIGHTHOUSE,20/05/2013,1.7,0.2, ,14.1,11.2,88,66,7.07,4.20
WILSONS PROMONTORY LIGHTHOUSE,21/05/2013,1.7,7.4, ,14.1,11.0,89,70,8.90,5.81
WILSONS PROMONTORY LIGHTHOUSE,22/05/2013,1.9,0.0, ,14.7,11.8,92,62,7.75,7.26
WILSONS PROMONTORY LIGHTHOUSE,23/05/2013,2.3,4.4, ,14.2,11.8,71,61,6.70,9.84
WILSONS PROMONTORY LIGHTHOUSE,24/05/2013,2.0,0.0, ,14.9,11.2,86,57,6.44,9.84
WILSONS PROMONTORY LIGHTHOUSE,25/05/2013,2.0,1.8, ,14.9,12.3,89,70,13.43,5.63
WILSONS PROMONTORY LIGHTHOUSE,26/05/2013,2.5,0.0, ,14.6,13.3,91,59,14.46,6.02
WILSONS PROMONTORY LIGHTHOUSE,27/05/2013,1.8,0.6, ,14.6,11.6,86,61,6.25,7.32
WILSONS PROMONTORY LIGHTHOUSE,28/05/2013,1.4,0.0, ,16.2,11.9,88,73,5.04,9.46
WILSONS PROMONTORY LIGHTHOUSE,29/05/2013,2.1,0.0, ,18.1,12.1,82,45,3.83,7.07
WILSONS PROMONTORY LIGHTHOUSE,30/05/2013,2.5,1.6, ,17.9,14.6,86,48,6.15,3.18
WILSONS PROMONTORY LIGHTHOUSE,31/05/2013,1.6,1.2, ,17.7,13.8,88,69,5.37,8.64
Totals:,,73.9,95.2, ,,,,,, 
