'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILSONS PROMONTORY LIGHTHOUSE Victoria for March 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILSONS PROMONTORY LIGHTHOUSE,01/03/2014,3.5,0.0, ,20.9,16.1,87,75,6.20,21.34
WILSONS PROMONTORY LIGHTHOUSE,02/03/2014,3.4,0.0, ,17.8,15.2,86,65,6.91,18.11
WILSONS PROMONTORY LIGHTHOUSE,03/03/2014,3.0,0.0, ,20.0,14.4,93,77,6.27,20.07
WILSONS PROMONTORY LIGHTHOUSE,04/03/2014,5.0,0.0, ,26.9,17.0,93,62,9.05,22.98
WILSONS PROMONTORY LIGHTHOUSE,05/03/2014,5.6,0.0, ,20.2,18.9,81,36,12.80,14.38
WILSONS PROMONTORY LIGHTHOUSE,06/03/2014,2.5,0.0, ,17.2,13.5,96,61,4.67,12.52
WILSONS PROMONTORY LIGHTHOUSE,07/03/2014,1.9,32.8, ,18.2,15.1,96,80,10.14,9.53
WILSONS PROMONTORY LIGHTHOUSE,08/03/2014,2.0,4.2, ,19.3,15.8,95,78,13.72,5.83
WILSONS PROMONTORY LIGHTHOUSE,09/03/2014,4.2,0.2, ,26.2,16.8,96,67,8.19,21.76
WILSONS PROMONTORY LIGHTHOUSE,10/03/2014,5.2,0.0, ,28.4,17.9,94,37,6.38,14.10
WILSONS PROMONTORY LIGHTHOUSE,11/03/2014,5.6,0.0, ,30.4,19.1,90,35,7.39,8.55
WILSONS PROMONTORY LIGHTHOUSE,12/03/2014,3.9,9.4, ,18.0,15.1,90,53,10.41,18.99
WILSONS PROMONTORY LIGHTHOUSE,13/03/2014,3.1,0.0, ,18.5,14.4,79,60,2.95,17.06
WILSONS PROMONTORY LIGHTHOUSE,14/03/2014,3.5,0.0, ,24.4,15.7,89,74,5.23,19.44
WILSONS PROMONTORY LIGHTHOUSE,15/03/2014,5.5,0.0, ,27.8,17.5,91,29,6.95,10.33
WILSONS PROMONTORY LIGHTHOUSE,16/03/2014,3.4,34.0, ,16.4,11.7,85,59,11.46,15.47
WILSONS PROMONTORY LIGHTHOUSE,17/03/2014,3.1,7.4, ,19.0,11.0,85,61,8.74,9.65
WILSONS PROMONTORY LIGHTHOUSE,18/03/2014,3.8,0.6, ,18.7,15.1,82,54,8.09,16.20
WILSONS PROMONTORY LIGHTHOUSE,19/03/2014,4.3,0.0, ,18.8,15.3,74,54,8.06,20.32
WILSONS PROMONTORY LIGHTHOUSE,20/03/2014,4.9,0.0, ,26.0,14.2,87,42,5.28,20.21
WILSONS PROMONTORY LIGHTHOUSE,21/03/2014,5.0,0.0, ,22.4,17.2,90,21,8.40,5.33
WILSONS PROMONTORY LIGHTHOUSE,22/03/2014,2.1,2.6, ,16.4,13.0,91,70,5.62,9.43
WILSONS PROMONTORY LIGHTHOUSE,23/03/2014,3.0,0.6, ,16.1,12.6,83,55,7.08,10.95
WILSONS PROMONTORY LIGHTHOUSE,24/03/2014,2.8,1.0, ,17.3,13.1,85,63,5.10,15.29
WILSONS PROMONTORY LIGHTHOUSE,25/03/2014,2.9,0.4, ,18.4,14.1,89,70,9.40,16.75
WILSONS PROMONTORY LIGHTHOUSE,26/03/2014,1.8,0.0, ,18.8,17.0,93,82,12.98,6.48
WILSONS PROMONTORY LIGHTHOUSE,27/03/2014,1.6,21.4, ,20.7,15.9,97,88,7.92,9.68
WILSONS PROMONTORY LIGHTHOUSE,28/03/2014,2.3,2.2, ,19.1,16.1,92,73,8.00,9.42
WILSONS PROMONTORY LIGHTHOUSE,29/03/2014,2.7,0.0, ,18.6,15.1,86,69,3.14,17.18
WILSONS PROMONTORY LIGHTHOUSE,30/03/2014,2.6,0.0, ,19.6,15.7,91,76,5.03,17.14
WILSONS PROMONTORY LIGHTHOUSE,31/03/2014,3.3,0.0, ,24.9,16.6,89,75,8.79,16.62
Totals:,,107.5,116.8, ,,,,,, 
