'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILSONS PROMONTORY LIGHTHOUSE Victoria for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILSONS PROMONTORY LIGHTHOUSE,01/04/2015,4.5,0.0, ,27.2,16.3,100,39,6.16,13.05
WILSONS PROMONTORY LIGHTHOUSE,02/04/2015,2.9,1.8, ,15.0,12.2,91,59,15.89,8.73
WILSONS PROMONTORY LIGHTHOUSE,03/04/2015,3.1,0.0, ,17.2,12.3,74,63,6.47,16.03
WILSONS PROMONTORY LIGHTHOUSE,04/04/2015,2.6,0.0, ,18.7,13.6,98,69,11.61,15.83
WILSONS PROMONTORY LIGHTHOUSE,05/04/2015,1.9,0.0, ,17.9,15.4,99,74,6.21,10.56
WILSONS PROMONTORY LIGHTHOUSE,06/04/2015,1.6,2.0, ,15.7,12.3,98,74,5.46,8.76
WILSONS PROMONTORY LIGHTHOUSE,07/04/2015,1.6,3.2, ,15.5,12.1,94,75,8.14,4.89
WILSONS PROMONTORY LIGHTHOUSE,08/04/2015,2.3,1.2, ,15.6,13.4,87,66,5.96,12.04
WILSONS PROMONTORY LIGHTHOUSE,09/04/2015,2.7,0.0, ,16.5,14.1,75,61,4.37,13.94
WILSONS PROMONTORY LIGHTHOUSE,10/04/2015,2.1,0.0, ,17.5,13.3,84,71,3.95,10.60
WILSONS PROMONTORY LIGHTHOUSE,11/04/2015,2.2,0.0, ,17.4,14.2,88,75,8.58,9.90
WILSONS PROMONTORY LIGHTHOUSE,12/04/2015,2.4,0.0, ,16.3,13.5,83,71,6.94,12.35
WILSONS PROMONTORY LIGHTHOUSE,13/04/2015,2.5,0.0, ,16.8,12.9,88,68,7.84,14.73
WILSONS PROMONTORY LIGHTHOUSE,14/04/2015,1.8,0.0, ,20.2,14.6,93,75,7.99,3.60
WILSONS PROMONTORY LIGHTHOUSE,15/04/2015,3.2,1.6, ,23.6,14.9,91,58,6.14,11.92
WILSONS PROMONTORY LIGHTHOUSE,16/04/2015,2.2,0.6, ,16.1,14.7,99,64,10.57,9.71
WILSONS PROMONTORY LIGHTHOUSE,17/04/2015,2.0,0.0, ,16.6,13.1,93,65,4.10,11.27
WILSONS PROMONTORY LIGHTHOUSE,18/04/2015,1.7,3.4, ,16.5,12.7,100,71,7.29,7.27
WILSONS PROMONTORY LIGHTHOUSE,19/04/2015,3.4,3.6, ,13.7,10.6,77,48,11.32,13.99
WILSONS PROMONTORY LIGHTHOUSE,20/04/2015,2.7,0.6, ,14.6,10.9,72,46,4.67,13.67
WILSONS PROMONTORY LIGHTHOUSE,21/04/2015,2.3,0.0, ,15.7,11.2,79,58,4.48,13.06
WILSONS PROMONTORY LIGHTHOUSE,22/04/2015,1.7,0.0, ,16.2,13.3,97,72,7.85,7.13
WILSONS PROMONTORY LIGHTHOUSE,23/04/2015,1.2,0.6, ,16.1,13.4,100,83,7.80,6.89
WILSONS PROMONTORY LIGHTHOUSE,24/04/2015,0.9,1.0, ,17.9,14.7,100,89,6.11,3.95
WILSONS PROMONTORY LIGHTHOUSE,25/04/2015,0.9,2.0, ,16.0,13.6,100,88,4.92,4.95
WILSONS PROMONTORY LIGHTHOUSE,26/04/2015,1.7,6.0, ,13.7,11.6,100,70,16.11,5.21
WILSONS PROMONTORY LIGHTHOUSE,27/04/2015,2.0,2.4, ,13.8,11.1,91,70,14.54,9.23
WILSONS PROMONTORY LIGHTHOUSE,28/04/2015,2.3,0.2, ,14.7,11.3,83,67,9.29,9.16
WILSONS PROMONTORY LIGHTHOUSE,29/04/2015,1.8,0.0, ,16.0,12.3,78,64,3.38,8.16
WILSONS PROMONTORY LIGHTHOUSE,30/04/2015,1.7,0.0, ,16.9,12.3,90,76,5.97,10.40
Totals:,,65.9,30.2, ,,,,,, 
