'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILSONS PROMONTORY LIGHTHOUSE Victoria for January 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 February 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILSONS PROMONTORY LIGHTHOUSE,01/01/2022,9.7,0.0, ,33.7,21.8,65,20,5.54,30.80
WILSONS PROMONTORY LIGHTHOUSE,02/01/2022,7.0,0.2, ,26.4,21.6,86,28,7.41,22.85
WILSONS PROMONTORY LIGHTHOUSE,03/01/2022,4.9,0.0, ,19.1,15.0,80,62,7.00,29.75
WILSONS PROMONTORY LIGHTHOUSE,04/01/2022,1.5,1.6, ,17.0,15.5,98,82,10.65,5.35
WILSONS PROMONTORY LIGHTHOUSE,05/01/2022,1.2,10.6, ,18.1,15.3,96,90,18.49,3.15
WILSONS PROMONTORY LIGHTHOUSE,06/01/2022,1.4,9.4, ,20.8,15.7,98,93,14.20,10.03
WILSONS PROMONTORY LIGHTHOUSE,07/01/2022,2.4,0.0, ,21.6,17.6,96,77,4.61,10.38
WILSONS PROMONTORY LIGHTHOUSE,08/01/2022,2.0,22.0, ,18.6,15.7,98,79,8.76,9.57
WILSONS PROMONTORY LIGHTHOUSE,09/01/2022,3.3,0.0, ,21.0,14.7,95,76,3.88,19.18
WILSONS PROMONTORY LIGHTHOUSE,10/01/2022,4.5,0.0, ,21.2,17.1,97,79,3.65,29.89
WILSONS PROMONTORY LIGHTHOUSE,11/01/2022,2.0,0.0, ,19.8,17.6,94,87,8.37,10.68
WILSONS PROMONTORY LIGHTHOUSE,12/01/2022,3.2,0.0, ,19.4,16.6,89,74,14.94,14.79
WILSONS PROMONTORY LIGHTHOUSE,13/01/2022,2.5,0.0, ,19.6,17.2,92,84,15.71,14.53
WILSONS PROMONTORY LIGHTHOUSE,14/01/2022,1.7,4.6, ,24.4,17.6,98,91,11.15,8.61
WILSONS PROMONTORY LIGHTHOUSE,15/01/2022,2.7,5.4, ,19.7,16.8,97,67,9.82,9.16
WILSONS PROMONTORY LIGHTHOUSE,16/01/2022,4.4,0.4, ,22.0,15.0,97,70,6.65,27.98
WILSONS PROMONTORY LIGHTHOUSE,17/01/2022,4.4,0.0, ,20.0,16.4,92,61,11.89,23.30
WILSONS PROMONTORY LIGHTHOUSE,18/01/2022,4.0,0.0, ,18.7,15.5,87,59,9.68,17.79
WILSONS PROMONTORY LIGHTHOUSE,19/01/2022,4.1,0.0, ,18.9,16.0,88,65,13.61,21.61
WILSONS PROMONTORY LIGHTHOUSE,20/01/2022,5.1,0.0, ,19.2,16.2,80,63,15.02,29.15
WILSONS PROMONTORY LIGHTHOUSE,21/01/2022,4.8,0.0, ,20.8,17.0,88,68,11.32,29.77
WILSONS PROMONTORY LIGHTHOUSE,22/01/2022,4.6,0.0, ,21.1,17.2,90,71,10.39,29.76
WILSONS PROMONTORY LIGHTHOUSE,23/01/2022,3.8,0.0, ,21.5,17.3,94,76,11.06,25.05
WILSONS PROMONTORY LIGHTHOUSE,24/01/2022,3.9,0.0, ,21.5,17.8,95,77,9.63,26.80
WILSONS PROMONTORY LIGHTHOUSE,25/01/2022,3.0,0.0, ,21.5,18.4,97,84,9.39,19.97
WILSONS PROMONTORY LIGHTHOUSE,26/01/2022,2.2,0.0, ,20.0,18.4,96,86,12.37,13.68
WILSONS PROMONTORY LIGHTHOUSE,27/01/2022,2.5,1.4, ,24.7,17.3,96,74,6.91,8.11
WILSONS PROMONTORY LIGHTHOUSE,28/01/2022,3.5,8.8, ,27.5,17.6,98,68,5.49,13.33
WILSONS PROMONTORY LIGHTHOUSE,29/01/2022,2.9,7.8, ,20.8,17.2,98,75,7.53,15.49
WILSONS PROMONTORY LIGHTHOUSE,30/01/2022,1.9,0.4, ,19.7,17.4,98,83,11.56,9.06
WILSONS PROMONTORY LIGHTHOUSE,31/01/2022,3.4,0.4, ,24.2,17.9,99,88,8.85,25.39
Totals:,,108.5,73, ,,,,,, 
