'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILSONS PROMONTORY LIGHTHOUSE Victoria for June 2024,,,,,,,,,,
Issued at 22:35 GMT on Monday 01 July 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILSONS PROMONTORY LIGHTHOUSE,01/06/2024,2.0,6.4, ,13.1,9.9,83,54,6.72,8.13
WILSONS PROMONTORY LIGHTHOUSE,02/06/2024,2.2,0.0, ,12.9,11.0,69,52,5.72,6.20
WILSONS PROMONTORY LIGHTHOUSE,03/06/2024,1.7,3.8, ,13.3,10.0,93,67,11.72,3.13
WILSONS PROMONTORY LIGHTHOUSE,04/06/2024,1.5,11.2, ,13.1,10.4,95,69,9.94,5.02
WILSONS PROMONTORY LIGHTHOUSE,05/06/2024,1.7,0.4, ,13.9,11.5,88,69,9.10,6.53
WILSONS PROMONTORY LIGHTHOUSE,06/06/2024,1.2,2.0, ,14.7,11.7,95,73,6.11,6.95
WILSONS PROMONTORY LIGHTHOUSE,07/06/2024, ,0.6, , ,11.8,95,77,6.97,5.11
WILSONS PROMONTORY LIGHTHOUSE,08/06/2024, , , ,13.9, ,95,60,5.79,5.71
WILSONS PROMONTORY LIGHTHOUSE,09/06/2024,2.2,0.8, ,12.9,11.6,93,51,10.53,7.67
WILSONS PROMONTORY LIGHTHOUSE,10/06/2024,2.2,0.0, ,14.7,9.2,87,52,7.76,7.23
WILSONS PROMONTORY LIGHTHOUSE,11/06/2024,2.5,5.2, ,14.8,10.1,88,57,12.82,3.62
WILSONS PROMONTORY LIGHTHOUSE,12/06/2024,2.5,21.4, ,11.6,9.3,89,53,18.02,7.72
WILSONS PROMONTORY LIGHTHOUSE,13/06/2024,1.6,0.0, ,11.9,10.1,84,61,5.88,4.31
WILSONS PROMONTORY LIGHTHOUSE,14/06/2024,1.7,0.0, ,12.8,9.8,92,67,11.13,4.80
WILSONS PROMONTORY LIGHTHOUSE,15/06/2024,1.7,0.6, ,11.9,10.1,84,62,6.94,7.18
WILSONS PROMONTORY LIGHTHOUSE,16/06/2024,2.1,0.8, ,12.0,9.8,71,52,6.37,8.40
WILSONS PROMONTORY LIGHTHOUSE,17/06/2024,1.8,0.0, ,12.6,10.9,69,57,4.82,8.04
WILSONS PROMONTORY LIGHTHOUSE,18/06/2024,1.5,0.0, ,12.0,9.5,70,54,3.33,5.61
WILSONS PROMONTORY LIGHTHOUSE,19/06/2024,1.5,0.0, ,10.9,10.5,72,52,3.06,3.86
WILSONS PROMONTORY LIGHTHOUSE,20/06/2024,1.6,0.0, ,12.4,9.8,73,60,4.26,6.87
WILSONS PROMONTORY LIGHTHOUSE,21/06/2024,1.2,3.6, ,12.3,10.1,91,68,5.16,7.71
WILSONS PROMONTORY LIGHTHOUSE,22/06/2024,1.9,0.0, ,12.1,10.5,75,60,6.18,6.79
WILSONS PROMONTORY LIGHTHOUSE,23/06/2024,1.0,0.0, ,12.8,10.1,89,71,3.53,6.92
WILSONS PROMONTORY LIGHTHOUSE,24/06/2024,1.5,0.0, ,12.0,9.1,76,50,3.76,8.16
WILSONS PROMONTORY LIGHTHOUSE,25/06/2024,1.9,0.0, ,13.7,9.6,75,50,4.75,7.03
WILSONS PROMONTORY LIGHTHOUSE,26/06/2024,2.0,0.2, ,12.8,10.6,69,50,5.08,8.21
WILSONS PROMONTORY LIGHTHOUSE,27/06/2024,1.4,3.2, ,12.5,9.4,89,70,8.00,4.88
WILSONS PROMONTORY LIGHTHOUSE,28/06/2024,2.3,0.4, ,15.7,9.7,82,46,6.04,7.26
WILSONS PROMONTORY LIGHTHOUSE,29/06/2024,2.9,1.8, ,13.3,12.1,86,40,10.80,5.21
WILSONS PROMONTORY LIGHTHOUSE,30/06/2024,2.4,4.6, ,10.7,8.5,79,48,10.23,7.76
Totals:,,51.7,67, ,,,,,, 
