'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAM AIRPORT Victoria for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAM AIRPORT,01/01/2012,5.2,0.0, ,25.6,12.5,99,59,3.01,29.78
YARRAM AIRPORT,02/01/2012,6.9,0.0, ,32.5,16.6,99,38,3.50,29.31
YARRAM AIRPORT,03/01/2012,6.6,0.0, ,31.6,18.1,94,42,3.67,27.78
YARRAM AIRPORT,04/01/2012,5.7,3.6, ,22.4,16.6,92,43,7.79,26.58
YARRAM AIRPORT,05/01/2012,5.2,0.6, ,21.9,7.3,93,43,4.47,29.66
YARRAM AIRPORT,06/01/2012,5.0,0.0, ,20.8,9.5,92,47,3.68,30.33
YARRAM AIRPORT,07/01/2012,4.8,0.0, ,29.3,9.3,98,23,2.48,16.54
YARRAM AIRPORT,08/01/2012,2.7,2.2, ,23.0,18.1,98,55,4.65,6.59
YARRAM AIRPORT,09/01/2012,4.9,2.2, ,22.5,12.6,87,50,7.53,21.56
YARRAM AIRPORT,10/01/2012,3.5,3.2, ,18.5,12.6,98,54,6.31,16.81
YARRAM AIRPORT,11/01/2012,3.7,12.0, ,18.2,10.1,97,54,8.11,18.70
YARRAM AIRPORT,12/01/2012,3.8,5.4, ,20.4,9.0,94,62,6.33,21.02
YARRAM AIRPORT,13/01/2012,4.6,0.4, ,21.1,12.7,95,51,7.16,22.95
YARRAM AIRPORT,14/01/2012,4.8,0.2, ,20.9,12.0,90,49,5.27,26.21
YARRAM AIRPORT,15/01/2012,4.7,0.0, ,21.9,6.3,99,53,3.55,30.36
YARRAM AIRPORT,16/01/2012,6.4,0.0, ,31.5,12.5,99,36,3.30,27.21
YARRAM AIRPORT,17/01/2012,6.9,0.0, ,33.6,13.7,92,31,3.15,27.82
YARRAM AIRPORT,18/01/2012,7.7,0.2, ,31.4,20.0,88,34,5.93,27.42
YARRAM AIRPORT,19/01/2012,5.0,0.0, ,23.5,11.6,93,56,3.49,29.52
YARRAM AIRPORT,20/01/2012,1.6,0.0, ,20.6,9.4,99,75,2.37,6.44
YARRAM AIRPORT,21/01/2012,2.7,0.2, ,22.3,17.4,99,70,4.88,11.77
YARRAM AIRPORT,22/01/2012,4.6,1.0, ,23.5,16.6,85,59,6.83,19.88
YARRAM AIRPORT,23/01/2012,5.6,0.0, ,25.2,15.1,96,56,4.99,31.13
YARRAM AIRPORT,24/01/2012,5.7,0.0, ,28.2,9.3,99,50,3.20,31.12
YARRAM AIRPORT,25/01/2012,6.4,0.0, ,30.5,8.5,99,43,4.07,29.25
YARRAM AIRPORT,26/01/2012,5.6,0.0, ,25.0,12.9,92,49,4.85,29.71
YARRAM AIRPORT,27/01/2012,3.6,0.0, ,23.3,15.1,89,64,5.72,15.35
YARRAM AIRPORT,28/01/2012,4.9,0.0, ,25.6,18.0,96,66,2.26,27.58
YARRAM AIRPORT,29/01/2012,5.7,0.0, ,31.3,14.7,99,48,2.55,27.23
YARRAM AIRPORT,30/01/2012,4.3,9.6, ,32.4,20.4,98,58,5.95,11.51
YARRAM AIRPORT,31/01/2012,3.6,18.6, ,20.3,13.0,98,52,6.19,15.26
Totals:,,152.4,59.4, ,,,,,, 
