'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAM AIRPORT Victoria for October 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAM AIRPORT,01/10/2013,3.3,6.6, ,15.3,12.8,92,54,9.29,18.28
YARRAM AIRPORT,02/10/2013,3.9,1.6, ,17.8,8.5,92,48,9.30,20.20
YARRAM AIRPORT,03/10/2013,3.1,3.6, ,14.3,7.2,92,60,6.87,24.81
YARRAM AIRPORT,04/10/2013,3.9,0.2, ,19.7,7.7,87,58,3.72,26.23
YARRAM AIRPORT,05/10/2013,5.5,0.0, ,24.6,10.2,89,30,6.50,19.00
YARRAM AIRPORT,06/10/2013,2.1,0.0, ,15.9,12.1,99,73,4.28,12.85
YARRAM AIRPORT,07/10/2013,3.0,1.0, ,15.6,5.4,99,55,3.32,23.22
YARRAM AIRPORT,08/10/2013,3.5,0.0, ,18.9,6.8,100,59,3.52,25.60
YARRAM AIRPORT,09/10/2013,7.3,0.0, ,27.7,6.0,100,23,7.18,26.79
YARRAM AIRPORT,10/10/2013,3.5,0.0, ,16.8,14.2,96,22,5.65,8.20
YARRAM AIRPORT,11/10/2013,3.7,0.8, ,18.1,9.1,99,55,7.21,24.70
YARRAM AIRPORT,12/10/2013,5.4,0.0, ,23.2,4.5,100,37,5.21,29.30
YARRAM AIRPORT,13/10/2013,2.3,0.0, ,16.5,5.2,99,65,7.22,11.17
YARRAM AIRPORT,14/10/2013,2.9,12.0, ,14.9,5.9,99,56,6.64,19.68
YARRAM AIRPORT,15/10/2013,4.4,0.6, ,18.5,7.8,94,48,6.69,28.12
YARRAM AIRPORT,16/10/2013,7.5,0.0, ,24.8,6.7,85,16,8.32,27.55
YARRAM AIRPORT,17/10/2013,3.4,2.6, ,15.3,10.2,91,56,9.42,20.13
YARRAM AIRPORT,18/10/2013,5.7,4.0, ,21.4,5.7,87,27,4.73,31.08
YARRAM AIRPORT,19/10/2013,6.8,0.0, ,27.6,7.8,85,19,3.57,31.17
YARRAM AIRPORT,20/10/2013,7.5,0.0, ,30.5,7.6,88,22,5.53,25.19
YARRAM AIRPORT,21/10/2013,2.2,0.0, ,17.3,13.2,100,70,3.42,11.72
YARRAM AIRPORT,22/10/2013,1.2,2.6, ,15.8,11.0,100,96,2.90,7.97
YARRAM AIRPORT,23/10/2013,2.4,32.8, ,17.3,12.1,100,68,6.50,12.54
YARRAM AIRPORT,24/10/2013,3.0,10.0, ,13.6,6.3,95,55,9.44,19.61
YARRAM AIRPORT,25/10/2013,2.9,0.8, ,14.8,7.4,99,66,7.54,22.55
YARRAM AIRPORT,26/10/2013,2.8,1.6, ,16.5,9.8,99,75,7.23,22.40
YARRAM AIRPORT,27/10/2013,3.1,1.4, ,16.1,9.3,100,64,4.38,22.09
YARRAM AIRPORT,28/10/2013,2.6,0.0, ,17.7,8.0,100,77,3.13,18.54
YARRAM AIRPORT,29/10/2013,3.6,1.8, ,16.7,9.7,100,62,6.46,26.96
YARRAM AIRPORT,30/10/2013,3.2,0.0, ,17.5,10.9,97,66,6.33,20.80
YARRAM AIRPORT,31/10/2013,3.8,0.0, ,17.5,10.8,98,62,5.09,27.97
Totals:,,119.5,84, ,,,,,, 
