'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAWONGA Victoria for June 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 July 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAWONGA,01/06/2011,1.7,0.0, ,20.5,3.8,93,43,2.05,11.71
YARRAWONGA,02/06/2011,1.9,0.0, ,19.6,5.1,94,43,2.94,11.80
YARRAWONGA,03/06/2011,1.5,0.0, ,17.9,5.2,93,54,2.56,9.40
YARRAWONGA,04/06/2011,1.6,9.8, ,16.0,10.6,93,51,3.45,9.49
YARRAWONGA,05/06/2011,1.4,0.0, ,14.8,4.8,94,59,3.36,9.36
YARRAWONGA,06/06/2011,1.6,1.0, ,12.4,3.8,93,50,4.18,11.84
YARRAWONGA,07/06/2011, ,0.2, ,12.0,0.6, , , ,8.04
YARRAWONGA,08/06/2011,1.5,3.6, ,10.9,0.3,93,59,6.23,11.31
YARRAWONGA,09/06/2011,2.1,0.0, ,14.8,2.7,89,54,7.20,11.39
YARRAWONGA,10/06/2011,1.8,0.2, ,15.1,1.2,94,43,4.02,11.40
YARRAWONGA,11/06/2011,1.0,0.0, ,14.8,-1.8,94,44,1.33,11.46
YARRAWONGA,12/06/2011,1.6,0.0, ,17.1,-0.3,94,39,2.46,11.46
YARRAWONGA,13/06/2011,1.6,0.0, ,17.1,-1.1,94,41,2.47,11.43
YARRAWONGA,14/06/2011,1.7,0.2, ,17.9,-0.9,94,40,2.60,11.26
YARRAWONGA,15/06/2011,1.6,0.0, ,16.9,-1.0,93,38,2.51,11.41
YARRAWONGA,16/06/2011,1.6,0.0, ,17.4,1.2,94,45,2.74,10.69
YARRAWONGA,17/06/2011,2.0,0.8, ,14.1,4.7,93,46,5.43,8.01
YARRAWONGA,18/06/2011,1.5,0.0, ,15.5,5.2,91,63,4.32,8.06
YARRAWONGA,19/06/2011,1.0,0.0, ,14.8,6.7,94,71,2.85,7.01
YARRAWONGA,20/06/2011,2.3,1.0, ,17.3,9.2,78,47,4.93,10.42
YARRAWONGA,21/06/2011,1.9,7.0, ,12.3,6.9,89,56,7.81,10.05
YARRAWONGA,22/06/2011,1.5,0.0, ,12.5,6.2,91,61,5.52,8.64
YARRAWONGA,23/06/2011,1.3,0.2, ,14.9,6.5,92,66,4.33,8.93
YARRAWONGA,24/06/2011,0.8,0.0, ,14.5,2.8,94,76,1.69,7.59
YARRAWONGA,25/06/2011,0.7,0.4, ,12.4,4.1,95,81,2.38,8.15
YARRAWONGA,26/06/2011,1.4,0.2, ,15.4,2.5,95,52,3.01,10.58
YARRAWONGA,27/06/2011,1.3,0.0, ,16.4,2.6,94,52,2.44,11.29
YARRAWONGA,28/06/2011,1.5,0.0, ,16.3,2.1,94,51,3.14,11.29
YARRAWONGA,29/06/2011,1.8,0.2, ,17.1,1.9,92,46,3.38,11.08
YARRAWONGA,30/06/2011,1.8,0.0, ,16.6,2.6,93,49,3.88,11.11
Totals:,,45,24.8, ,,,,,, 
