'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAWONGA Victoria for November 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 December 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAWONGA,01/11/2012,5.1,0.0, ,22.1,16.2,92,35,6.21,20.24
YARRAWONGA,02/11/2012,5.4,0.0, ,22.9,5.7,99,33,4.20,29.83
YARRAWONGA,03/11/2012,5.5,0.0, ,25.7,5.7,99,27,3.02,28.02
YARRAWONGA,04/11/2012,6.7,0.0, ,30.6,9.0,95,22,3.07,29.92
YARRAWONGA,05/11/2012,5.2,0.0, ,29.7,13.0,86,31,3.35,17.31
YARRAWONGA,06/11/2012,4.8,0.0, ,30.0,18.8,100,29,3.23,14.89
YARRAWONGA,07/11/2012,3.0,11.4, ,19.7,17.5,100,27,1.18,14.77
YARRAWONGA,08/11/2012,6.1,1.0, ,27.5,15.6,96,28,3.23,28.80
YARRAWONGA,09/11/2012,6.0,0.0, ,23.3,9.7,100,26,4.81,30.37
YARRAWONGA,10/11/2012,5.5,0.0, ,24.4,5.3,100,17,2.38,30.95
YARRAWONGA,11/11/2012,6.3,0.0, ,26.3,7.8,91,25,3.58,31.10
YARRAWONGA,12/11/2012,9.8,0.0, ,33.8,14.2,66,12,6.27,26.13
YARRAWONGA,13/11/2012,6.4,0.0, ,25.9,6.1,100,18,3.64,31.31
YARRAWONGA,14/11/2012,5.6,0.0, ,26.2,6.2,99,26,2.06,31.29
YARRAWONGA,15/11/2012,5.9,0.0, ,27.1,8.2,87,13,2.68,26.25
YARRAWONGA,16/11/2012,6.8,0.0, ,24.6,11.6,81,24,5.29,30.07
YARRAWONGA,17/11/2012,6.0,0.0, ,26.1,6.2,90,17,2.81,29.89
YARRAWONGA,18/11/2012,5.9,0.0, ,23.0,6.0,96,26,4.85,29.66
YARRAWONGA,19/11/2012,6.1,0.0, ,27.3,6.2,90,28,2.61,32.05
YARRAWONGA,20/11/2012,6.8,0.0, ,29.4,12.5,100,16,2.78,31.61
YARRAWONGA,21/11/2012,10.0,0.0, ,32.1,13.0,60,15,6.81,30.10
YARRAWONGA,22/11/2012,8.0,0.0, ,29.2,8.6,72,17,4.58,32.26
YARRAWONGA,23/11/2012,6.4,0.0, ,31.7,8.1,91,20,1.82,31.92
YARRAWONGA,24/11/2012,7.2,0.0, ,35.0,12.5,83,13,2.24,29.74
YARRAWONGA,25/11/2012,8.8,0.0, ,37.2,14.6,76,13,3.14,32.57
YARRAWONGA,26/11/2012,6.4,0.0, ,33.0,13.6,87,18,2.50,24.20
YARRAWONGA,27/11/2012,6.0,0.0, ,30.5,17.4,82,41,2.87,25.32
YARRAWONGA,28/11/2012,7.7,1.4, ,35.8,16.6,89,26,2.39,32.78
YARRAWONGA,29/11/2012,9.8,0.0, ,41.2,20.7,81,15,3.49,32.73
YARRAWONGA,30/11/2012,7.3,0.0, ,34.9,26.3,69,30,4.25,19.60
Totals:,,196.5,13.8, ,,,,,, 
