'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAWONGA Victoria for June 2019,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 July 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAWONGA,01/06/2019,0.8,0.0, ,16.0,2.0,99,55,0.68,10.47
YARRAWONGA,02/06/2019,1.1,0.0, ,15.6,1.4,99,58,1.69,10.28
YARRAWONGA,03/06/2019,1.1,3.6, ,12.7,6.5,99,67,3.96,6.84
YARRAWONGA,04/06/2019,2.0,0.0, ,13.7,4.5,85,47,5.40,10.32
YARRAWONGA,05/06/2019,1.3,0.0, ,13.6,0.2,98,57,3.48,10.28
YARRAWONGA,06/06/2019,1.5,0.0, ,15.9,3.7,98,63,4.67,10.12
YARRAWONGA,07/06/2019,1.0,0.0, ,15.9,1.1,99,61,1.49,10.14
YARRAWONGA,08/06/2019,1.0,0.2, ,15.4,4.0,99,69,2.12,8.97
YARRAWONGA,09/06/2019,1.1,0.2, ,17.1,4.4,99,70,2.85,8.96
YARRAWONGA,10/06/2019,1.1,2.0, ,17.8,9.5,99,69,3.00,5.23
YARRAWONGA,11/06/2019,0.9,6.0, ,15.9,4.3,100,76,1.95,9.88
YARRAWONGA,12/06/2019,1.1,0.0, ,16.6,7.9,99,73,3.61,2.88
YARRAWONGA,13/06/2019,1.1,6.4, ,15.7,11.1,100,66,2.71,8.77
YARRAWONGA,14/06/2019,0.9,0.0, ,16.0,6.3,99,68,1.63,8.86
YARRAWONGA,15/06/2019,0.7,0.2, ,13.7,5.9,100,81,1.11,7.68
YARRAWONGA,16/06/2019,0.7,1.6, ,14.1,8.2,99,78,1.15,8.27
YARRAWONGA,17/06/2019,0.6,0.2, ,14.4,1.5,100,73,0.64,10.00
YARRAWONGA,18/06/2019,0.8,0.0, ,12.5,3.9,99,77,2.92,6.51
YARRAWONGA,19/06/2019,0.9,1.2, ,11.4,0.4,99,64,2.60,9.68
YARRAWONGA,20/06/2019,0.6,0.2, ,9.8,-0.2,99,71,1.19,8.15
YARRAWONGA,21/06/2019,1.0,0.0, ,12.9,-0.5,100,60,2.64,9.73
YARRAWONGA,22/06/2019,0.8,0.2, ,11.9,-1.8,99,52,1.13,10.00
YARRAWONGA,23/06/2019,0.8,0.0, ,13.3,-2.7,99,46,1.16,10.01
YARRAWONGA,24/06/2019,0.8,0.0, ,13.9,-1.9,99,48,1.10,10.02
YARRAWONGA,25/06/2019,0.9,0.2, ,15.5,1.1,99,54,1.35,9.77
YARRAWONGA,26/06/2019,1.0,0.0, ,15.8,1.4,99,59,1.76,10.05
YARRAWONGA,27/06/2019,1.1,0.2, ,16.0,2.2,99,63,2.53,10.07
YARRAWONGA,28/06/2019,1.5,0.0, ,18.3,3.5,99,58,3.27,9.88
YARRAWONGA,29/06/2019,1.7,0.2, ,17.3,10.4,99,59,5.26,5.45
YARRAWONGA,30/06/2019,1.1,14.0, ,13.2,6.6,97,62,3.03,9.87
Totals:,,31,36.6, ,,,,,, 
