'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAWONGA Victoria for September 2019,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAWONGA,01/09/2019,3.3,0.0, ,22.4,2.2,99,32,3.43,11.98
YARRAWONGA,02/09/2019, ,0.4, , ,0.7,100,55,1.44,16.24
YARRAWONGA,03/09/2019,2.8,0.2, ,21.4,6.5,99,44,2.34,16.92
YARRAWONGA,04/09/2019,1.5,0.0, ,17.4,1.3,100,66,1.13,10.76
YARRAWONGA,05/09/2019,1.4,0.2, ,16.5,8.6,99,75,2.26,8.26
YARRAWONGA,06/09/2019,1.3,0.0, ,12.8,8.7,99,75,3.81,7.09
YARRAWONGA,07/09/2019,2.1,6.4, ,13.9,6.2,97,64,6.66,14.68
YARRAWONGA,08/09/2019,1.8,0.0, ,13.2,3.3,99,64,5.03,10.44
YARRAWONGA,09/09/2019,2.6,3.0, ,13.6,3.8,97,54,7.13,17.71
YARRAWONGA,10/09/2019,2.2,0.0, ,15.3,-0.6,99,56,2.68,18.11
YARRAWONGA,11/09/2019,2.2,0.0, ,18.1,-1.8,99,49,1.00,18.30
YARRAWONGA,12/09/2019,3.6,0.0, ,23.0,1.9,99,25,3.06,14.18
YARRAWONGA,13/09/2019,3.0,0.0, ,19.6,-1.1,100,25,2.03,18.28
YARRAWONGA,14/09/2019,3.1,0.0, ,20.1,2.5,99,39,2.61,18.83
YARRAWONGA,15/09/2019,2.1,0.0, ,20.2,2.5,99,54,2.31,10.03
YARRAWONGA,16/09/2019,1.5,0.4, ,12.7,11.4,99,64,3.96,6.18
YARRAWONGA,17/09/2019,3.0,1.6, ,16.9,-0.1,93,34,2.70,19.46
YARRAWONGA,18/09/2019,2.6,0.0, ,19.4,0.7,99,42,1.32,19.52
YARRAWONGA,19/09/2019,3.9,0.0, ,25.1,3.5,99,41,3.31,18.84
YARRAWONGA,20/09/2019,5.2,0.0, ,26.9,12.5,90,32,4.99,19.42
YARRAWONGA,21/09/2019,4.0,0.0, ,21.4,18.1,77,37,5.83,8.43
YARRAWONGA,22/09/2019,3.0,0.0, ,17.4,4.0,99,35,2.54,19.57
YARRAWONGA,23/09/2019,2.6,1.4, ,16.3,4.5,99,45,3.11,14.92
YARRAWONGA,24/09/2019,2.5,0.2, ,16.8,2.1,99,42,2.22,15.77
YARRAWONGA,25/09/2019,2.4,0.0, ,18.3,-1.0,99,40,1.89,13.17
YARRAWONGA,26/09/2019,2.7,0.0, ,19.9,-0.6,99,35,1.05,19.83
YARRAWONGA,27/09/2019,6.2,0.0, ,26.8,2.9,99,16,5.36,19.83
YARRAWONGA,28/09/2019,3.6,0.0, ,18.4,3.3,97,37,3.87,21.06
YARRAWONGA,29/09/2019,3.6,0.0, ,17.9,2.0,99,39,4.89,21.24
YARRAWONGA,30/09/2019,4.0,0.0, ,20.9,2.7,95,29,3.30,21.47
Totals:,,83.8,13.8, ,,,,,, 
