'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAWONGA Victoria for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAWONGA,01/09/2023,2.4,0.0, ,17.1,4.0,100,49,3.12,16.52
YARRAWONGA,02/09/2023,2.0,0.2, ,16.9,1.8,100,54,1.55,16.65
YARRAWONGA,03/09/2023,2.2,0.0, ,18.0,2.6,100,58,2.38,16.86
YARRAWONGA,04/09/2023,3.0,0.0, ,22.1,6.1,100,53,4.53,14.79
YARRAWONGA,05/09/2023,2.5,0.4, ,15.7,3.4,100,43,3.49,14.62
YARRAWONGA,06/09/2023,2.7,0.2, ,18.9,0.6,100,48,3.38,17.18
YARRAWONGA,07/09/2023,3.8,0.0, ,22.9,7.7,100,36,5.06,13.68
YARRAWONGA,08/09/2023,2.2,5.0, ,13.8,6.0,100,56,6.63,10.72
YARRAWONGA,09/09/2023,2.0,3.6, ,13.8,0.1,100,56,3.00,15.88
YARRAWONGA,10/09/2023,1.7,2.8, ,13.9,5.8,100,66,1.98,12.12
YARRAWONGA,11/09/2023,2.2,0.0, ,17.4,0.6,100,53,1.39,18.32
YARRAWONGA,12/09/2023,2.3,0.0, ,20.0,2.6,100,52,0.93,17.59
YARRAWONGA,13/09/2023,2.7,0.0, ,21.2,4.7,100,47,1.34,18.74
YARRAWONGA,14/09/2023,2.9,0.0, ,22.6,5.0,100,55,2.22,18.62
YARRAWONGA,15/09/2023,3.9,0.0, ,25.8,7.9,100,31,2.69,17.95
YARRAWONGA,16/09/2023,3.0,0.0, ,24.6,3.6,100,34,1.14,19.31
YARRAWONGA,17/09/2023,3.0,0.0, ,24.9,5.1,100,47,1.24,19.51
YARRAWONGA,18/09/2023,2.9,0.0, ,25.9,11.1,100,55,2.17,13.86
YARRAWONGA,19/09/2023,5.9,0.0, ,32.5,10.0,99,16,3.57,18.15
YARRAWONGA,20/09/2023,2.8,0.0, ,21.1,11.0,99,54,3.56,13.23
YARRAWONGA,21/09/2023,3.1,0.0, ,17.7,4.6,99,41,3.59,17.58
YARRAWONGA,22/09/2023,2.9,0.0, ,20.1,1.0,99,39,1.57,20.41
YARRAWONGA,23/09/2023,2.8,0.0, ,21.2,1.0,100,39,1.21,19.66
YARRAWONGA,24/09/2023,3.9,0.0, ,23.9,3.7,100,32,2.54,20.82
YARRAWONGA,25/09/2023,2.2,0.0, ,22.4,7.7,100,52,1.85,9.75
YARRAWONGA,26/09/2023,3.6,0.2, ,26.3,4.2,100,28,1.36,20.70
YARRAWONGA,27/09/2023,3.8,0.0, ,22.3,6.3,100,39,3.79,17.75
YARRAWONGA,28/09/2023,4.0,0.0, ,25.2,3.3,100,23,1.95,21.49
YARRAWONGA,29/09/2023,3.5,0.0, ,26.5,1.8,99,19,1.06,21.59
YARRAWONGA,30/09/2023,5.0,0.0, ,28.4,5.0,99,14,2.56,21.80
Totals:,,90.9,12.4, ,,,,,, 
